# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.2643429841         1.2326085521         2.3169484759         4.8139000121         0.0008023167         0.0007047300
2000         6.1903664644         4.4064778300         4.9158154087        15.5126597031         0.0012927216         0.0013263581
3000        11.0265091895         7.5773035774         4.8922739958        23.4960867627         0.0013053382         0.0015003032
4000        10.8309049154         5.4223406346         4.9593268336        21.2125723837         0.0008838572         0.0012140200
5000         9.8013966595         4.7200076963         5.8870005007        20.4084048565         0.0006802802         0.0007974784
6000         7.0996987994         4.8604144729         5.1427969160        17.1029101883         0.0004750808         0.0005597477
7000         8.6547854545         7.1360958421         7.8367203593        23.6276016559         0.0005625619         0.0004284870
8000         7.7463328243         7.8369858141         6.7952129804        22.3785316187         0.0004662194         0.0003865818
9000         8.1596158034         7.1184799337         6.6980002430        21.9760959801         0.0004069647         0.0003199384
10000         7.6676208613         8.5175627803         7.1021528415        23.2873364830         0.0003881223         0.0002783743
11000         8.1715290563         6.9481507806         6.9881429502        22.1078227872         0.0003349670         0.0002413868
12000         7.6181078154         4.5983537328         7.3783978144        19.5948593625         0.0002721508         0.0002058832
13000         6.4804033015         6.9810105856         5.5662022631        19.0276161502         0.0002439438         0.0001638891
14000         7.2080416293         5.7978526851         3.9858112830        16.9917055974         0.0002022822         0.0001209993
15000         6.1602406161         2.7041378128         3.5135486582        12.3779270871         0.0001375325         0.0000836035
16000         6.1108444980         2.4379396059         4.7971974897        13.3459815937         0.0001390206         0.0000454152
17000         5.2305364340         3.6507263067         5.9631623760        14.8444251167         0.0001455336         0.0000247854
18000         5.9808235679         3.9556755287         4.4921237546        14.4286228513         0.0001335984         0.0000128181
19000         5.6057621959         3.9532519516         3.0529930292        12.6120071767         0.0001106316        -0.0000011822
20000         5.8049703889         7.1894650660         4.9662808223        17.9607162772         0.0001496726        -0.0000053117
21000         6.6007085045         7.0268735514         3.9497508386        17.5773328945         0.0001395026        -0.0000036896
22000         8.4595174182         6.6153373911         5.2225522659        20.2974070752         0.0001537682         0.0000001732
23000         5.9319604961         5.2196429555         9.9157419528        21.0673454044         0.0001526619         0.0000046912
24000         6.3510314565         4.5871555835         8.9212626859        19.8594497258         0.0001379128         0.0000100432
25000         9.7936113384         8.4632823861         4.8469859521        23.1038796766         0.0001540259         0.0000139930
26000        11.0182224958         9.4925373448         3.4635309707        23.9742908113         0.0001536814         0.0000207459
27000         6.5939274586         7.1179408633         3.2870603509        16.9989286728         0.0001049317         0.0000214656
28000         4.3735299699         7.1011642085         2.6529412894        14.1276354678         0.0000840931         0.0000154708
29000         5.9948611644         4.7682335628         1.9104264504        12.6735211776         0.0000728363         0.0000066490
30000         9.2482091538         5.4459204883         2.5875355055        17.2816651476         0.0000960093         0.0000029900
31000         7.0203818913         5.6678651333         1.9347611333        14.6230081580         0.0000786183         0.0000014623
32000         5.5851493655         6.0581190433         3.2238355248        14.8671039335         0.0000774328        -0.0000020293
33000         6.0905354030         6.2520430761         2.3403596167        14.6829380959         0.0000741563        -0.0000053107
34000         9.5238368370         4.2597069174         3.6828970448        17.4664407992         0.0000856198        -0.0000066367
35000        17.4821094204         5.0895155526         6.7635416433        29.3351666163         0.0001396913        -0.0000009429
36000        20.7770099070         6.1715461137         7.2747505914        34.2233066120         0.0001584412         0.0000115107
37000        22.1048383530         5.7439492305         6.9017957102        34.7505832937         0.0001565342         0.0000211268
38000        18.6218842641         5.7616809004         5.9653959519        30.3489611164         0.0001331095         0.0000295947
39000        11.9990928876         5.2383651066         3.8006664410        21.0381244352         0.0000899065         0.0000317649
40000        11.9438338941         4.6213985097         4.9134550847        21.4786874885         0.0000894945         0.0000298595
41000        11.8226392992         6.8482637255         6.1251659296        24.7960689542         0.0001007970         0.0000298148
42000        17.6576741313         7.4011093224         7.0581344437        32.1169178975         0.0001274481         0.0000334461
43000        16.5406630719         6.1070945584         8.3589056111        31.0066632415         0.0001201809         0.0000382037
44000        11.5757887602         6.7771904395        10.6357463151        28.9887255148         0.0001098058         0.0000408158
45000        11.5308856570         4.9219997189        12.4967589982        28.9496443741         0.0001072209         0.0000422034
46000        14.0611365163         4.0702740386        15.0552067611        33.1866173161         0.0001202414         0.0000441137
47000        18.0048864496         4.6201810596        13.1904330653        35.8155005746         0.0001270053         0.0000478140
48000        19.0643655929         3.7153248612        11.4985282345        34.2782186886         0.0001190216         0.0000509690
49000        15.6993113075         4.3889145331        11.3965525833        31.4847784239         0.0001070911         0.0000537376
50000        16.9671266456         3.2862569173        10.6085796269        30.8619631897         0.0001028732         0.0000539837
51000        16.2543444312         3.7736001212         9.4594416554        29.4873862077         0.0000963640         0.0000542515
52000        16.4741582006         5.6697385712        10.1144648968        32.2583616687         0.0001033922         0.0000544127
53000        19.7884716790         4.8809406171        16.2382121081        40.9076244042         0.0001286403         0.0000561829
54000        23.4185839439         6.7025285118        17.5037080659        47.6248205217         0.0001469902         0.0000609066
55000        13.6346897289         4.8793238226        11.9620317130        30.4760452644         0.0000923517         0.0000631933
56000        13.7360329401         4.3323445773         9.3503632442        27.4187407617         0.0000816034         0.0000613338
57000        14.5574999229         4.8946847104        12.6042423989        32.0564270322         0.0000937322         0.0000604116
58000        16.8799284782         5.7972451148        13.6595264608        36.3367000538         0.0001044158         0.0000606138
59000        15.0430235971         4.7065139417        12.2223203878        31.9718579266         0.0000903160         0.0000609771
60000        13.8557118384         2.7798363665        13.2397319028        29.8752801077         0.0000829869         0.0000598877
61000        12.5860012794         2.6305763148        13.2609912518        28.4775688459         0.0000778076         0.0000583770
62000        11.8856144274         4.2340217123        14.4038340784        30.5234702181         0.0000820523         0.0000569999
63000        14.3096490434         8.2565822697        15.4212488568        37.9874801699         0.0001004960         0.0000569649
64000        16.9665854935        13.3381862452        14.1328077108        44.4375794495         0.0001157229         0.0000584966
65000        14.7082702887        14.4137189909        10.0006566340        39.1226459136         0.0001003145         0.0000598089
66000        15.5558597191        16.1792046413         9.3782468281        41.1133111885         0.0001038215         0.0000607272
67000        14.9971463275        15.1175683958        10.1708885750        40.2856032983         0.0001002129         0.0000613463
68000        14.1723147800        14.6455217372        10.6959629214        39.5137994386         0.0000968475         0.0000620019
69000        11.5779226559        19.7066612692         6.9246950135        38.2092789387         0.0000922929         0.0000618840
70000        21.5346093935        23.2829641752         5.8641326707        50.6817062393         0.0001206707         0.0000624596
71000        31.2829718393        17.4126794263        11.9960777642        60.6917290298         0.0001424688         0.0000657016
72000        27.8009291416        16.3684260313         8.6158981601        52.7852533329         0.0001221881         0.0000692249
73000        25.0818785240        17.1306276392         9.5524877417        51.7649939049         0.0001181849         0.0000713305
74000        27.5150937475        14.3050936548        13.6734980833        55.4936854856         0.0001249858         0.0000729387
75000        32.2957980686        15.6273773966        15.9206769537        63.8438524188         0.0001418752         0.0000759075
76000        29.7913013835        14.5464490069        13.3095416499        57.6472920403         0.0001264195         0.0000788009
77000        36.1056296248        15.3884068350         9.3860963510        60.8801328108         0.0001317752         0.0000810002
78000        31.3694803967        16.2214450865        10.8883370422        58.4792625254         0.0001249557         0.0000828768
79000        37.8903762725        17.9589600585        10.7699672020        66.6193035330         0.0001405471         0.0000849985
80000        34.4015120629        19.7051036964         7.8110824234        61.9176981827         0.0001289952         0.0000874554
81000        28.2354174297        19.5797555821         8.9465750890        56.7617481008         0.0001167937         0.0000884315
82000        24.4072186620        22.6622300314         9.5875764702        56.6570251637         0.0001151566         0.0000894940
83000        24.9341540944        20.1535615508        12.9759692618        58.0636849070         0.0001165937         0.0000899402
84000        25.9034924332        20.8511120777        11.3121313768        58.0667358877         0.0001152118         0.0000907635
85000        31.9289564335        17.7046738434        12.9963817105        62.6300119874         0.0001228039         0.0000911477
86000        35.6678087216        18.0397961003        13.1516507361        66.8592555580         0.0001295722         0.0000927588
87000        35.3058729367        14.6572986222         9.1691597831        59.1323313419         0.0001132803         0.0000936872
88000        36.0092179003        17.8683475240        11.4412605395        65.3188259638         0.0001237099         0.0000943055
89000        29.7044452930        19.2096326792        10.9153717888        59.8294497610         0.0001120402         0.0000946055
90000        31.9526695539        15.9142106267        13.6540460686        61.5209262492         0.0001139276         0.0000949605
91000        26.9941298150        14.6111986125        12.8990302255        54.5043586530         0.0000998248         0.0000948749
92000        30.2539443298        15.1060725088        13.9655221447        59.3255389834         0.0001074738         0.0000946837
93000        33.4941865445        16.1229632211        11.8591894201        61.4763391857         0.0001101727         0.0000946576
94000        33.7405077183        19.9347222684         8.8925515731        62.5677815597         0.0001109358         0.0000947834
95000        34.0494725903        21.0281979313        15.2130803115        70.2907508332         0.0001233171         0.0000954622
96000        29.4312238391        16.9111230098        17.4847904298        63.8271372787         0.0001108110         0.0000958072
97000        29.6486323797        13.4699249672        16.2278983375        59.3464556845         0.0001019699         0.0000955501
98000        31.2967134321        17.8138793601        13.8359424198        62.9465352120         0.0001070519         0.0000951915
99000        38.1462905566        18.9738652116        12.5090879207        69.6292436890         0.0001172209         0.0000956898
100000        38.0728952745        15.6917678886        17.5947406910        71.3594038542         0.0001189323         0.0000961446
101000        37.1650126384        17.2235475933        32.7014398020        87.0900000337         0.0001437129         0.0000976292
102000        33.0539981047        18.5505044177        33.5037665573        85.1082690797         0.0001390658         0.0000996320
103000        30.5766836467        19.4751966686        29.7621255460        79.8140058613         0.0001291489         0.0001007187
104000        33.0984717513        19.2493851291        35.8642869983        88.2121438786         0.0001413656         0.0001021699
105000        35.6941803820        20.2417492474        40.1306028189        96.0665324483         0.0001524866         0.0001042038
106000        44.4932689509        17.2150470742        39.7030799655       101.4113959906         0.0001594519         0.0001067806
107000        37.4310374001        17.3186775667        40.9862254678        95.7359404346         0.0001491214         0.0001090490
108000        34.8941984114        17.8171176285        37.8049192152        90.5162352551         0.0001396855         0.0001105741
109000        40.3413010897        17.0105424593        40.4977535719        97.8495971210         0.0001496171         0.0001123204
110000        39.2783396723        16.9071118018        47.3906136573       103.5760651314         0.0001569334         0.0001143316
111000        37.7009700455        21.1625334606        39.9480048869        98.8115083930         0.0001483656         0.0001162048
112000        32.3771892191        27.3100058397        37.3143506776        97.0015457364         0.0001443475         0.0001174259
113000        40.5656209566        27.7358969021        37.2120929995       105.5136108581         0.0001556248         0.0001189329
114000        32.2927055165        33.2557634980        35.5493571441       101.0978261585         0.0001478038         0.0001205485
115000        31.9072874166        35.0874565804        41.4153475867       108.4100915837         0.0001571161         0.0001220433
116000        36.8999535527        35.5204294664        43.8263809841       116.2467640032         0.0001670212         0.0001237870
117000        33.8001432202        38.7625639250        51.9817605424       124.5444676876         0.0001774138         0.0001261396
118000        35.5706734328        43.4640315513        50.5048466855       129.5395516695         0.0001829655         0.0001288706
119000        29.7286853995        38.0036084149        54.1061907000       121.8384845144         0.0001706421         0.0001311416
120000        27.8277674313        43.7921891151        61.4122735128       133.0322300592         0.0001847670         0.0001335786
121000        28.5646608327        40.1858637200        56.4720440931       125.2225686458         0.0001724829         0.0001355441
122000        36.7457943209        40.9314465948        58.4429425261       136.1201834417         0.0001859565         0.0001375920
123000        43.1385708199        38.3065316746        54.7875295767       136.2326320712         0.0001845971         0.0001404404
124000        41.8859769834        40.3737305414        52.5982471446       134.8579546694         0.0001812607         0.0001427010
125000        37.9142191324        39.1081514343        64.4965945672       141.5189651339         0.0001886920         0.0001448173
126000        36.7847739580        42.5605196937        71.0804437211       150.4257373728         0.0001989758         0.0001474395
127000        36.2858185181        43.7964825030        57.1753137881       137.2576148092         0.0001801281         0.0001498776
128000        31.0675255665        42.6762550312        62.6889985282       136.4327791259         0.0001776468         0.0001516125
129000        28.4972725404        42.3563385870        62.7395159342       133.5931270616         0.0001726009         0.0001527821
130000        34.5398053257        35.7327378141        70.3235158159       140.5960589558         0.0001802514         0.0001543770
131000        37.4390741359        35.9137791890        69.4756352099       142.8284885348         0.0001817156         0.0001559094
132000        41.3382622011        41.0667847957        73.5437568832       155.9488038800         0.0001969051         0.0001577409
133000        46.2939143280        40.5213650132        59.4366969672       146.2519763084         0.0001832732         0.0001595100
134000        36.3420230259        33.5666129042        69.3873826741       139.2960186043         0.0001732538         0.0001605528
135000        40.7050896923        34.2195169448        67.8490514102       142.7736580472         0.0001762638         0.0001616486
136000        38.2328288797        37.8500375348        62.3132530153       138.3961194298         0.0001696031         0.0001626385
137000        35.0516334735        37.1717026156        61.7021550128       133.9254911020         0.0001629264         0.0001632461
138000        34.3498921137        35.8778486895        55.4190673619       125.6468081651         0.0001517474         0.0001635779
139000        37.1556558618        38.2641079282        42.3302159612       117.7499797512         0.0001411870         0.0001632520
140000        31.7968161744        40.9321826712        55.5624921947       128.2914910403         0.0001527280         0.0001629051
141000        26.4037711725        41.4938663056        58.4000719505       126.2977094287         0.0001492881         0.0001629528
142000        26.6815768963        42.2591251049        47.8691894495       116.8098914507         0.0001371008         0.0001625825
143000        32.0212206382        45.3189214509        45.9368971791       123.2770392682         0.0001436795         0.0001620273
144000        29.2462883376        34.5117971819        41.5342673877       105.2923529071         0.0001218661         0.0001613188
145000        30.4489784535        36.1707162645        40.8083332364       107.4280279543         0.0001234805         0.0001600193
146000        33.4323085309        37.8515221422        35.3708696215       106.6547002946         0.0001217519         0.0001587821
147000        35.1439167575        37.0349836566        36.0668663118       108.2457667259         0.0001227276         0.0001575559
148000        30.4990836521        40.6261715629        33.4198804814       104.5451356964         0.0001177310         0.0001564761
149000        31.0892262052        40.8653513949        31.7268883523       103.6814659524         0.0001159748         0.0001550693
150000        35.2764467132        31.2782269213        28.1026753071        94.6573489416         0.0001051748         0.0001535943
151000        36.0724432221        29.7173233192        24.2200840052        90.0098505465         0.0000993486         0.0001517599
152000        26.8435816641        37.6529275756        23.8039417613        88.3004510009         0.0000968207         0.0001498541
153000        19.5239718869        41.4500625035        21.5529777615        82.5270121519         0.0000898987         0.0001478535
154000        21.4484026563        28.0874335709        24.2912112253        73.8270474525         0.0000798994         0.0001457605
155000        15.8157400837        16.3421301372        29.6798298019        61.8377000227         0.0000664922         0.0001431290
156000        18.3878891696        12.7182010892        26.7760352011        57.8821254599         0.0000618399         0.0001402437
157000        20.3800944135        16.9355290275        29.0598784074        66.3755018484         0.0000704623         0.0001374488
158000        20.4533352054        16.6284040809        30.2827250177        67.3644643040         0.0000710596         0.0001349822
159000        18.5547146338        18.7298655082        26.4345280110        63.7191081530         0.0000667915         0.0001325902
160000        15.1700838379        16.4494515775        30.9127487648        62.5322841801         0.0000651378         0.0001300617
161000        16.1730230374        16.0495949516        33.0406082212        65.2632262103         0.0000675603         0.0001276302
162000        16.8977235816        14.4874981998        30.8546272990        62.2398490804         0.0000640328         0.0001253592
163000        13.3956830496        14.0128995868        29.2620596123        56.6706422487         0.0000579454         0.0001228643
164000        16.5306450619        11.3308609360        27.9388485939        55.8003545918         0.0000567077         0.0001204159
165000        14.4556848473        10.0595105987        25.5480711715        50.0632666175         0.0000505690         0.0001177457
166000        13.7946869438         7.9847292130        23.1518465913        44.9312627480         0.0000451117         0.0001150059
167000        16.2977542515         8.3160917898        23.6077265447        48.2215725860         0.0000481253         0.0001123257
168000        14.8313164973        10.1625333618        30.4322529077        55.4261027668         0.0000549862         0.0001098548
169000        15.8382763602         8.0516131246        31.8812191212        55.7711086060         0.0000550011         0.0001076822
170000        13.9430405443         8.6030105161        23.5592747503        46.1053258108         0.0000452013         0.0001054190
171000        18.6161983088         9.3294951714        24.9797544172        52.9254478974         0.0000515843         0.0001031085
172000        15.3924496359         8.9786476957        19.9419029327        44.3130002643         0.0000429390         0.0001008735
173000        14.3186413129         9.9584807351        17.7814033415        42.0585253896         0.0000405188         0.0000984576
174000        16.3296368606        10.0106676186        21.0124509778        47.3527554570         0.0000453570         0.0000961446
175000        17.5115930134         8.5080291660        22.2345055036        48.2541276830         0.0000459563         0.0000940658
176000        21.9474147567         6.3824662447        16.4484874448        44.7783684462         0.0000424038         0.0000919105
177000        19.0282351136         5.2632681678        20.2487877216        44.5402910030         0.0000419400         0.0000897821
178000        11.5985161571         4.1487614510        25.2223891086        40.9696667167         0.0000383611         0.0000876060
179000         7.0262182476         6.2966615340        34.4086675073        47.7315472890         0.0000444428         0.0000855517
