# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.3414731173         2.6053573186         2.5543750850         7.5012055210         0.0012502009         0.0013264078
2000         4.6778143824         5.2950330600         4.3669568298        14.3398042723         0.0011949837         0.0012751889
3000         4.5750584073         6.8130833639         6.3040218522        17.6921636234         0.0009828980         0.0010284451
4000         6.0083946162         7.8866180881         7.1065347727        21.0015474771         0.0008750645         0.0008982346
5000         7.1584782782         7.1490360139         8.6058335581        22.9133478502         0.0007637783         0.0007673737
6000         7.0328130033         8.2879254554         9.8662042491        25.1869427078         0.0006996373         0.0006707238
7000         7.7999269700         9.0689216045        11.8238194787        28.6926680532         0.0006831588         0.0006125880
8000         8.1801662046        11.0338701980        13.0769606475        32.2909970501         0.0006727291         0.0005857391
9000         8.0975416903        11.9849307852        13.8342708831        33.9167433586         0.0006280878         0.0005674676
10000         7.9261946952        12.3822582334        16.8010359171        37.1094888458         0.0006184915         0.0005443527
11000         8.4316860388        13.3329347351        17.6148778601        39.3794986341         0.0005966591         0.0005313181
12000        10.6250617231        14.0389807383        18.0525281156        42.7165705769         0.0005932857         0.0005179305
13000        13.6012587566        15.4652140445        20.0564694662        49.1229422673         0.0006297813         0.0005243492
14000        15.0164081414        17.8455721554        19.5576045051        52.4195848019         0.0006240427         0.0005334627
15000        14.1313514849        21.1663839183        22.7032292039        58.0009646071         0.0006444552         0.0005453285
16000        13.6233680503        19.6540459168        22.2452085606        55.5226225277         0.0005783607         0.0005469253
17000        13.8105869854        20.9916369650        23.7670000115        58.5692239620         0.0005742081         0.0005372427
18000        15.0634184756        22.1464257853        24.6169906110        61.8268348719         0.0005724707         0.0005300505
19000        16.7420589038        26.3409570160        24.0295436828        67.1125596027         0.0005887067         0.0005281665
20000        17.1794319003        25.5993682905        25.0949606665        67.8737608573         0.0005656147         0.0005287315
21000        18.3924541958        25.6036896597        26.7357528111        70.7318966666         0.0005613643         0.0005242342
22000        20.0352031419        25.8642193084        28.4623630797        74.3617855300         0.0005633469         0.0005215025
23000        20.6417439505        26.9566751423        31.3204305015        78.9188495943         0.0005718757         0.0005190509
24000        21.4785932570        30.3158644251        32.7218555244        84.5163132065         0.0005869188         0.0005228963
25000        22.3281144494        31.1618839317        35.3368129926        88.8268113736         0.0005921787         0.0005282768
26000        25.0108781000        30.2670995956        36.8905445947        92.1685222902         0.0005908239         0.0005331504
27000        27.8571802806        30.5126520871        38.8218095524        97.1916419201         0.0005999484         0.0005360945
28000        30.9191733237        32.6929860535        41.2406676933       104.8528270705         0.0006241240         0.0005450715
29000        34.3832815907        35.2104904104        39.1642473245       108.7580193256         0.0006250461         0.0005532812
30000        40.5014072526        37.1979677997        41.8427737384       119.5421487907         0.0006641230         0.0005658553
31000        38.8301328189        35.8315105523        42.7247568403       117.3864002115         0.0006311097         0.0005764160
32000        41.0175036836        35.7200166740        44.4384269286       121.1759472863         0.0006311247         0.0005819418
33000        39.3279171298        40.5138696280        44.8984302154       124.7402169732         0.0006300011         0.0005875788
34000        36.6009810830        42.2773018142        45.4158590402       124.2941419373         0.0006092850         0.0005904217
35000        37.3462130340        45.4172228609        43.4582111125       126.2216470074         0.0006010555         0.0005904320
36000        38.7039405219        47.7771032719        46.7353706090       133.2164144028         0.0006167427         0.0005916454
37000        43.8616606238        50.0763461754        52.2646948776       146.2027016768         0.0006585707         0.0005957310
38000        49.1698801897        48.4386164268        53.9160696797       151.5245662962         0.0006645814         0.0006044651
39000        45.9318395477        52.1531680807        56.5978439625       154.6828515910         0.0006610378         0.0006126977
40000        48.0858651649        54.0433474556        56.8304328489       158.9596454694         0.0006623319         0.0006182111
41000        47.5211637886        58.2651900920        53.4175567321       159.2039106127         0.0006471704         0.0006229310
42000        45.5136981304        57.7196847546        54.1782974011       157.4116802860         0.0006246495         0.0006243457
43000        44.4312767569        54.1921443350        59.9765329811       158.5999540731         0.0006147285         0.0006234372
44000        43.2603139967        54.6984013594        58.9195604928       156.8782758488         0.0005942359         0.0006205598
45000        46.8666681747        60.3108021307        58.3779883944       165.5554586998         0.0006131684         0.0006178167
46000        45.6593560351        63.6930925724        56.6473752000       165.9998238075         0.0006014486         0.0006167851
47000        46.3442468722        59.8184443552        57.3896467058       163.5523379331         0.0005799728         0.0006139965
48000        43.3083311781        59.8797182173        58.7244720466       161.9125214420         0.0005621963         0.0006076867
49000        45.7836393929        61.2537935199        54.2500234731       161.2874563859         0.0005485968         0.0006011612
50000        46.5882432545        64.7451489526        55.3402401414       166.6736323484         0.0005555788         0.0005951489
51000        47.2713579381        66.8484359532        56.4587574764       170.5785513677         0.0005574462         0.0005899059
52000        46.4047915599        67.7810866482        61.2748627716       175.4607409797         0.0005623742         0.0005853487
53000        49.1403704063        73.0811044908        68.1925863335       190.4140612306         0.0005987864         0.0005837135
54000        51.4708008582        77.3900437940        68.1258513256       196.9866959778         0.0006079836         0.0005851770
55000        50.6056348142        74.6192696159        67.1186370030       192.3435414331         0.0005828592         0.0005848969
56000        57.1795640483        78.8345259169        68.6172189818       204.6313089469         0.0006090218         0.0005848862
57000        55.9910793982        81.7954656728        71.8616284375       209.6481735085         0.0006130064         0.0005867381
58000        56.1714768824        83.4543660680        68.9607043793       208.5865473298         0.0005993866         0.0005877894
59000        58.9044116947        84.8995430206        72.1657998567       215.9697545720         0.0006100841         0.0005885304
60000        58.4873794905        87.5420724526        72.8277049170       218.8571568601         0.0006079365         0.0005893806
