0.001 4.44768e-06 4.45524e-06 4.44651e-06 4.4413e-06 (count: 9.99e+07)
0.002 1.77903e-05 1.78204e-05 1.77856e-05 1.77648e-05 (count: 9.99e+07)
0.003 4.00263e-05 4.0094e-05 4.0016e-05 3.9969e-05 (count: 9.99e+07)
0.004 7.11535e-05 7.12732e-05 7.11355e-05 7.10518e-05 (count: 9.98999e+07)
0.005 0.000111169 0.000111355 0.000111141 0.00011101 (count: 9.98999e+07)
0.006 0.000160067 0.000160333 0.000160029 0.00015984 (count: 9.98999e+07)
0.007 0.000217844 0.000218203 0.000217794 0.000217536 (count: 9.98999e+07)
0.008 0.000284494 0.000284958 0.000284431 0.000284093 (count: 9.98999e+07)
0.009 0.000360009 0.00036059 0.000359933 0.000359504 (count: 9.98998e+07)
0.01 0.000444381 0.000445089 0.000444293 0.000443761 (count: 9.98998e+07)
0.011 0.000537602 0.000538446 0.000537503 0.000536856 (count: 9.98998e+07)
0.012 0.000639661 0.000640651 0.000639553 0.00063878 (count: 9.98998e+07)
0.013 0.000750549 0.00075169 0.000750435 0.000749522 (count: 9.98998e+07)
0.014 0.000870253 0.000871551 0.000870136 0.000869071 (count: 9.98997e+07)
0.015 0.000998761 0.00100022 0.000998646 0.000997417 (count: 9.98997e+07)
0.016 0.00113606 0.00113768 0.00113595 0.00113454 (count: 9.98997e+07)
0.017 0.00128213 0.00128392 0.00128204 0.00128044 (count: 9.98997e+07)
0.018 0.00143697 0.00143892 0.0014369 0.00143509 (count: 9.98997e+07)
0.019 0.00160055 0.00160266 0.00160051 0.00159848 (count: 9.98996e+07)
0.02 0.00177286 0.00177512 0.00177286 0.0017706 (count: 9.98996e+07)
0.021 0.00195388 0.00195629 0.00195394 0.00195142 (count: 9.98996e+07)
0.022 0.00214359 0.00214614 0.00214371 0.00214092 (count: 9.98996e+07)
0.023 0.00234198 0.00234465 0.00234218 0.0023391 (count: 9.98996e+07)
0.024 0.00254901 0.0025518 0.00254931 0.00254593 (count: 9.98995e+07)
0.025 0.00276468 0.00276755 0.0027651 0.00276139 (count: 3.99598e+06)
0.05 0.0108836 0.0108739 0.0108988 0.0108779 (count: 3.99596e+06)
0.075 0.0238698 0.0237753 0.0239539 0.0238803 (count: 3.99594e+06)
