# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.7902931399         2.7528414023         2.5051408620         8.0482754041         0.0013413792         0.0014364261
2000         5.4801621684         4.9626691075         4.9944856130        15.4373168890         0.0012864431         0.0013205424
3000         8.3174696219         7.6003771759         8.0725172959        23.9903640937         0.0013327980         0.0013547802
4000        10.5929696782         9.7565891458        10.5980650507        30.9476238746         0.0012894843         0.0013413272
5000        12.7453904929        12.5898380100        11.9194947550        37.2547232579         0.0012418241         0.0012853420
6000        15.4335923170        13.8313108534        13.4237741123        42.6886772827         0.0011857966         0.0012261724
7000        16.8097749472        16.0096812105        14.5174078093        47.3368639670         0.0011270682         0.0011651231
8000        16.7236371754        19.3318092758        14.2034623359        50.2589087871         0.0010470606         0.0010903596
9000        17.6436282299        22.4727600945        15.4132094436        55.5295977679         0.0010283259         0.0010292626
10000        18.8184052584        24.5379313889        16.5597685424        59.9161051897         0.0009986018         0.0009907446
11000        20.8812419620        26.2729486466        17.9486729252        65.1028635337         0.0009864070         0.0009516315
12000        23.8629599615        30.1006782619        20.2282353932        74.1918736165         0.0010304427         0.0009449287
13000        26.5337052669        32.6988622032        22.2188878508        81.4514553208         0.0010442494         0.0009552996
14000        27.8262834245        35.0690277835        25.0687864174        87.9640976253         0.0010471916         0.0009648978
15000        29.8979759692        36.3570697238        27.1337290815        93.3887747745         0.0010376531         0.0009722275
16000        29.7444506098        39.1339236778        28.5445836675        97.4229579551         0.0010148225         0.0009739600
17000        31.8951336060        40.0342713757        30.3929723724       102.3223773540         0.0010031606         0.0009692327
18000        32.6464918351        40.3623559947        32.4231965401       105.4320443699         0.0009762226         0.0009633924
19000        35.5051940190        42.9597975892        34.0307577950       112.4957494031         0.0009868048         0.0009543238
20000        36.4606806360        46.3760172181        35.9709716414       118.8076694955         0.0009900639         0.0009513359
21000        37.5511532949        50.8465118345        38.0547220439       126.4523871733         0.0010035904         0.0009518137
22000        38.6120745649        54.6888935133        40.8876452624       134.1886133406         0.0010165804         0.0009579754
23000        38.8420090288        57.2820018574        43.1492382875       139.2732491737         0.0010092264         0.0009615234
24000        35.2188900513        61.2898039429        45.8314596830       142.3401536772         0.0009884733         0.0009619189
25000        33.1451757307        61.9645137919        50.4152973928       145.5249869154         0.0009701666         0.0009575029
26000        37.1556712965        64.8760602256        51.4974071378       153.5291386600         0.0009841611         0.0009541340
27000        39.1696498881        66.6349418639        55.4724302536       161.2770220056         0.0009955372         0.0009539754
28000        40.8651259883        69.9659414368        58.0830314254       168.9140988505         0.0010054411         0.0009566465
