# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.3103707724         2.6003298158         2.1029668681         7.0136674564         0.0011689446         0.0012648089
2000         5.5397294436         4.6095705611         3.9288707162        14.0781707210         0.0011731809         0.0011814113
3000         7.6641902835         6.1073098757         5.2616535462        19.0331537054         0.0010573974         0.0011168813
4000         9.4530062737         7.8816101104         5.9543439340        23.2889603181         0.0009703733         0.0009873647
5000         9.1259462483        10.2688053029         5.7619612350        25.1567127862         0.0008385571         0.0008798126
6000        10.8860842117        10.5291297051         6.8331146801        28.2483285969         0.0007846758         0.0007683396
7000        12.7930841337        11.8888849459         8.9884728672        33.6704419467         0.0008016772         0.0007333630
8000        12.6809690634        12.7943699306         9.7519485436        35.2272875376         0.0007339018         0.0007051585
9000        14.5335221807        14.0308438731        10.3781373128        38.9425033666         0.0007211575         0.0006711754
10000        16.4526879364        14.7662027652        11.1170702796        42.3359609812         0.0007055993         0.0006484802
11000        18.7766786754        14.8565012682        12.9602317235        46.5934116671         0.0007059608         0.0006335689
12000        19.1450704821        19.0558205753        14.9391009481        53.1399920055         0.0007380554         0.0006378389
13000        18.7294114690        20.9862303010        15.1940443471        54.9096861171         0.0007039703         0.0006449072
14000        19.4714691203        21.5442219651        16.5842541552        57.5999452406         0.0006857136         0.0006360077
15000        21.8406781136        24.4533068933        19.4673333393        65.7613183463         0.0007306813         0.0006414710
16000        23.2370308965        25.1067439536        20.4131760006        68.7569508508         0.0007162182         0.0006518759
17000        23.4006092952        27.2533444899        20.1405965667        70.7945503518         0.0006940642         0.0006528389
18000        23.5679577561        28.3301547863        20.5253513932        72.4234639356         0.0006705876         0.0006506546
19000        25.8578438163        27.7679114113        21.4456714152        75.0714266428         0.0006585213         0.0006418099
20000        27.8883554718        28.5866573615        21.8910113786        78.3660242118         0.0006530502         0.0006344001
21000        28.6764574062        29.1973837268        21.1383181372        79.0121592703         0.0006270806         0.0006242331
22000        28.3781376720        29.9551555046        21.1474062159        79.4806993926         0.0006021265         0.0006110636
23000        29.3456381614        26.9386944457        24.8163817314        81.1007143385         0.0005876863         0.0005937842
24000        29.1320193733        26.3635436204        27.5654225039        83.0609854976         0.0005768124         0.0005785046
25000        29.0682255224        25.7499275723        30.6868024680        85.5049555627         0.0005700330         0.0005649877
26000        30.2170280442        26.3934563807        30.4722361372        87.0827205621         0.0005582226         0.0005523538
27000        29.3224877673        27.1651111780        30.5906362356        87.0782351809         0.0005375200         0.0005392865
28000        30.8630612502        28.0939541614        33.6080772835        92.5650926950         0.0005509827         0.0005284038
29000        31.0934998189        28.9410335449        34.1006388742        94.1351722380         0.0005410067         0.0005204078
30000        31.2962961082        31.0634294167        35.0334958573        97.3932213822         0.0005410735         0.0005131208
31000        31.7798819517        33.9588217701        35.4985378846       101.2372416064         0.0005442862         0.0005073955
32000        33.1704794353        35.7209176787        33.5010471683       102.3924442823         0.0005332940         0.0005008957
33000        31.6707621495        36.9129806112        35.5094953466       104.0932381073         0.0005257234         0.0004949453
34000        32.1658747927        36.2702868817        35.0848850374       103.5210467118         0.0005074561         0.0004883054
35000        34.4313283524        39.9279623496        36.9796109171       111.3389016191         0.0005301852         0.0004822486
36000        35.0436026917        41.6768705213        36.2138961866       112.9343693996         0.0005228443         0.0004787967
37000        38.4864963427        46.9038740379        36.1587443913       121.5491147719         0.0005475185         0.0004780858
38000        37.0085980179        47.9369339580        38.8468853383       123.7924173143         0.0005429492         0.0004788014
39000        38.6944934982        48.7987074379        40.9076932481       128.4008941842         0.0005487218         0.0004797500
40000        41.8579860864        50.6748929563        42.4424910106       134.9753700533         0.0005623974         0.0004825865
41000        43.3748976740        57.5139403538        44.7603323468       145.6491703746         0.0005920698         0.0004873562
42000        46.2377435988        59.4640568744        43.0583039252       148.7601043985         0.0005903179         0.0004952887
43000        50.6778561546        65.1204819462        42.5409773501       158.3393154510         0.0006137183         0.0005027683
44000        51.4151029570        67.4436063950        42.9282295895       161.7869389416         0.0006128293         0.0005116048
45000        52.7378007086        68.4790885740        43.2048853335       164.4217746160         0.0006089695         0.0005192020
46000        54.6113194813        70.6298373748        43.7311327632       168.9722896192         0.0006122184         0.0005257369
47000        55.3380945966        72.8246449159        47.3063646214       175.4691041339         0.0006222309         0.0005328107
48000        55.2480348556        72.1951642715        50.8482737056       178.2914728328         0.0006190676         0.0005402936
49000        57.1082840868        75.0383766942        53.0397990408       185.1864598218         0.0006298859         0.0005465341
50000        57.3760810061        77.2757408612        55.0899728182       189.7417946856         0.0006324726         0.0005537313
51000        59.1509710917        79.1530680797        58.4267943314       196.7308335028         0.0006429112         0.0005606005
52000        63.0522398720        81.7805764733        63.1355934234       207.9684097687         0.0006665654         0.0005686611
53000        64.5126386483        87.7803147908        64.9272656962       217.2202191353         0.0006830825         0.0005787435
54000        64.9692663390        89.3353431250        66.6008354192       220.9054448832         0.0006818069         0.0005883827
55000        69.1558480513        90.9333048353        70.1305577908       230.2197106774         0.0006976355         0.0005982203
56000        75.4964919293        89.5473616054        76.9668956525       242.0107491872         0.0007202701         0.0006090882
57000        83.2832806765        91.1616676729        77.3968246583       251.8417730077         0.0007363795         0.0006210773
58000        87.6546856437        92.0964342533        75.4320632502       255.1831831472         0.0007332850         0.0006326095
59000        94.9844151753        92.4791217112        76.2277373269       263.6912742134         0.0007448906         0.0006434157
60000        91.7573334558        94.0655377942        78.0841172897       263.9069885396         0.0007330750         0.0006539733
61000        93.9044448079        94.0239656919        78.3372648507       266.2656753505         0.0007275018         0.0006620458
62000        93.3646377845        96.0912833936        81.2081341953       270.6640553733         0.0007275915         0.0006697937
63000        97.4472772839        98.2362164095        76.7412731193       272.4247668127         0.0007207004         0.0006761314
64000        99.6948599855       102.0297739652        78.7305697870       280.4552037377         0.0007303521         0.0006823713
65000       102.3970025691        99.9332548798        81.0240921836       283.3543496326         0.0007265496         0.0006882546
66000       109.8372027557       102.5352918778        82.1017995777       294.4742942112         0.0007436220         0.0006942950
