# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.5819417274         1.9433793620         1.6448145602         5.1701356496         0.0008616893         0.0009130669
2000         3.1335486699         3.3753162969         2.7606064602         9.2694714270         0.0007724560         0.0008074024
3000         4.0371741117         3.5296995271         2.6939013941        10.2607750329         0.0005700431         0.0006314197
4000         4.8255861386         3.5125072364         3.5004133941        11.8385067690         0.0004932711         0.0004542096
5000         6.5604468429         3.9001686411         3.1810594539        13.6416749379         0.0004547225         0.0004028099
6000         6.6787392464         3.9546377628         4.1222337772        14.7556107864         0.0004098781         0.0003592810
7000         6.7703723901         5.2575115190         4.6358180033        16.6637019124         0.0003967548         0.0003306312
8000         6.8729668120         6.1570187664         4.6563710759        17.6863566543         0.0003684658         0.0003151944
9000         7.4502662353         6.2688577818         4.6410119320        18.3601359490         0.0003400025         0.0002943636
10000         8.0706733340         6.6033292217         5.5138508419        20.1878533975         0.0003364642         0.0002793531
11000         9.0903893633         7.7031323918         6.2486550724        23.0421768275         0.0003491239         0.0002767265
12000        10.3691629026         7.8584739188         7.8088052570        26.0364420784         0.0003616173         0.0002842080
13000        12.1496013819         8.6309995141         8.4904206985        29.2710215944         0.0003752695         0.0002945123
14000        12.5693488785        10.0194730771         8.8947126877        31.4835346433         0.0003748040         0.0003089357
15000        13.1415100028         9.9249885755         8.2233239635        31.2898225419         0.0003476647         0.0003122748
16000        14.4453689960         9.9656640626         8.5282800247        32.9393130833         0.0003431178         0.0003099624
17000        13.9710749687        10.1875479063         8.5382802797        32.6969031547         0.0003205579         0.0003051300
18000        14.3459470347        12.3803366715        10.8671692828        37.5934529889         0.0003480875         0.0003032536
19000        14.4384877894        12.6398665640        11.0252399148        38.1035942682         0.0003342421         0.0003031316
20000        15.0677290801        13.6357891327        11.8205279759        40.5240461887         0.0003377004         0.0003043367
21000        15.5647284855        13.2957082434        13.1756475051        42.0360842340         0.0003336197         0.0003044890
22000        16.6358018068        13.9945635143        13.9539409496        44.5843062708         0.0003377599         0.0003064692
23000        16.8157961383        14.4485854034        13.2797882836        44.5441698254         0.0003227838         0.0003053954
24000        16.3363087146        15.1110756451        15.5587451826        47.0061295423         0.0003264315         0.0003034916
25000        17.7548846597        15.9173169494        16.4099430757        50.0821446847         0.0003338810         0.0003025529
26000        18.9717530724        15.1128652431        17.3828464552        51.4674647707         0.0003299196         0.0003040174
27000        19.7767244269        14.6543677007        17.1346361053        51.5657282329         0.0003183070         0.0003032381
28000        20.1181667897        15.7512591644        16.4458532812        52.3152792353         0.0003114005         0.0003002119
29000        21.0471667603        16.1591509719        17.4743073513        54.6806250835         0.0003142565         0.0002987568
30000        21.4224405870        16.9920893833        19.0689436170        57.4834735872         0.0003193526         0.0002983266
31000        21.9026181308        17.1132897635        19.8910489938        58.9069568880         0.0003167041         0.0002973991
32000        22.2662999018        18.0160514303        19.8034774849        60.0858288169         0.0003129470         0.0002968830
33000        22.2790906625        18.2698925384        19.4553243888        60.0043075897         0.0003030521         0.0002940048
34000        24.2649817533        16.2528002919        19.3027680952        59.8205501404         0.0002932380         0.0002908888
35000        25.7817163226        17.1733043634        19.8817523660        62.8367730519         0.0002992227         0.0002884493
36000        25.0866471414        16.8220037425        20.1745230759        62.0831739597         0.0002874221         0.0002859058
37000        24.6402340710        18.5286061572        19.8967825811        63.0656228094         0.0002840794         0.0002827844
38000        27.0649857635        18.0996033491        21.2385123090        66.4031014216         0.0002912417         0.0002794304
39000        28.7403810415        19.0730300744        21.7950159122        69.6084270280         0.0002974719         0.0002782107
40000        28.1273588000        19.5556767697        23.5836260256        71.2666615953         0.0002969444         0.0002775240
41000        28.5480937445        20.1532784993        25.6517647594        74.3531370032         0.0003022485         0.0002777064
42000        29.2821620438        20.3836702189        25.2598898792        74.9257221418         0.0002973243         0.0002779926
43000        30.1451412905        20.5179811958        27.5511812066        78.2143036929         0.0003031562         0.0002780323
44000        29.6416928456        21.3275543331        28.1115410898        79.0807882685         0.0002995484         0.0002782162
45000        29.4765455989        22.2724132568        29.0783830023        80.8273418580         0.0002993605         0.0002780142
46000        32.4030346866        23.1077239695        28.6098039787        84.1205626348         0.0003047846         0.0002785821
47000        30.7444349817        22.0200480169        28.7132413935        81.4777243921         0.0002889281         0.0002783749
48000        30.8157814618        23.4569357933        31.8788374854        86.1515547405         0.0002991373         0.0002775328
49000        32.4137417802        24.3573497430        33.3415851156        90.1126766388         0.0003065057         0.0002784660
50000        32.6833145275        25.6654369130        34.6608887994        93.0096402399         0.0003100321         0.0002796499
51000        32.2201857862        26.9366661238        34.3483485258        93.5052004358         0.0003055726         0.0002807743
52000        32.5964975350        25.7874314089        36.2489501234        94.6328790672         0.0003033105         0.0002814878
53000        30.2252345552        26.5527836457        36.0738509920        92.8518691929         0.0002919870         0.0002815420
54000        31.1867662229        26.6049157479        32.5396872279        90.3313691987         0.0002788005         0.0002803398
55000        31.1179781361        26.4922326673        33.2090038181        90.8192146215         0.0002752097         0.0002781723
56000        31.7471547084        26.1930460971        33.5754186806        91.5156194861         0.0002723679         0.0002758155
57000        33.8258887454        25.7774622393        33.1444718819        92.7478228666         0.0002711925         0.0002735269
58000        34.2894295299        26.5891263886        32.9429394625        93.8214953811         0.0002696020         0.0002715064
59000        32.7312840134        27.1473861884        34.3270248000        94.2056950017         0.0002661178         0.0002691733
60000        32.8798281012        27.3629852360        33.6221262836        93.8649396208         0.0002607359         0.0002671425
61000        32.5993268713        26.4242770643        35.0763754216        94.0999793572         0.0002571038         0.0002643936
62000        33.1345275563        27.9133821793        38.0820639723        99.1299737080         0.0002664784         0.0002621707
63000        34.3024618610        28.6926890051        37.4623835548       100.4575344209         0.0002657607         0.0002607779
64000        33.7869248411        29.2492368241        39.1539582833       102.1901199486         0.0002661201         0.0002593191
65000        32.1537411852        27.7954502966        41.5729834051       101.5221748868         0.0002603133         0.0002580311
66000        32.7756616765        27.4347567998        39.9737553804       100.1841738567         0.0002529903         0.0002559255
67000        31.5817012631        26.4131836494        37.7431783528        95.7380632654         0.0002381544         0.0002532003
68000        32.4940538692        27.8193017499        41.9591731200       102.2725287391         0.0002506680         0.0002504181
69000        35.1559599125        28.8715548849        40.1007054215       104.1282202189         0.0002515174         0.0002486751
70000        32.8330768946        30.4487033659        41.7667118515       105.0484921120         0.0002501155         0.0002469502
71000        34.0764656578        30.9938668552        43.3939979156       108.4643304287         0.0002546111         0.0002455170
72000        36.7823161469        33.0763848576        44.1582746801       114.0169756846         0.0002639282         0.0002447880
73000        38.2385489054        31.7587217636        43.7015736128       113.6988442817         0.0002595864         0.0002445647
74000        39.7096091205        31.8483851250        42.6911242041       114.2491184496         0.0002573178         0.0002440407
75000        38.0686024515        32.5513427863        43.1889384633       113.8088837010         0.0002529086         0.0002431904
76000        38.3985563884        33.4387258066        43.9941191587       115.8314013537         0.0002540162         0.0002420408
77000        38.1585452948        35.0491372305        44.2226337092       117.4303162346         0.0002541782         0.0002412259
78000        37.5234023209        33.6790294883        43.2875535131       114.4899853223         0.0002446367         0.0002403122
79000        37.9544195927        33.4202411897        43.2498899355       114.6245507179         0.0002418239         0.0002387591
80000        38.5256288465        35.9603384205        46.3642082986       120.8501755655         0.0002517712         0.0002377269
81000        39.6191590349        38.0096024012        48.8039572857       126.4327187218         0.0002601496         0.0002373127
82000        39.4782736868        37.1980647516        51.1164395882       127.7927780266         0.0002597414         0.0002373809
83000        42.3126005764        36.5802034984        47.7449100210       126.6377140958         0.0002542926         0.0002371002
84000        43.3118628499        36.5124628918        48.4425997201       128.2669254617         0.0002544979         0.0002366655
85000        40.8626318184        36.2412696515        46.2037172578       123.3076187277         0.0002417796         0.0002360268
86000        40.1148442025        35.8268947578        48.5188981318       124.4606370921         0.0002412028         0.0002347598
87000        41.1296515570        35.1639240035        49.2678166945       125.5613922549         0.0002405391         0.0002337021
88000        44.2908591818        35.8028007670        45.9364814516       126.0301414004         0.0002386934         0.0002325906
89000        46.2399216574        34.4396929418        45.5273358404       126.2069504396         0.0002363426         0.0002314775
90000        46.9230059301        35.4571582532        47.3933302522       129.7734944355         0.0002403213         0.0002304929
91000        46.8801291993        35.7550689821        48.9784688613       131.6136670427         0.0002410507         0.0002299432
92000        47.5762304826        36.3001586436        48.7083013317       132.5846904579         0.0002401897         0.0002291770
93000        48.1369138496        35.9782238887        49.0367029001       133.1518406383         0.0002386234         0.0002283383
94000        51.1022902369        36.1844757536        52.5674703790       139.8542363695         0.0002479685         0.0002278706
95000        50.7703535917        35.9909649690        53.8826447229       140.6439632837         0.0002467438         0.0002277184
96000        50.7071911686        36.9648959216        52.2741731359       139.9462602261         0.0002429623         0.0002274611
97000        49.0162180730        36.2674868045        51.4927428924       136.7764477699         0.0002350111         0.0002268375
