# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.7341409358         2.0412165399         2.7515468030         7.5269042787         0.0012544840         0.0013474862
2000         5.0878173998         4.4746509421         5.1711926975        14.7336610393         0.0012278051         0.0012951649
3000         6.6904902476         6.5922249268         6.7776720312        20.0603872055         0.0011144660         0.0011550610
4000         8.2646084585         8.0639770210         8.7079126644        25.0364981438         0.0010431874         0.0010582615
5000         9.3404871616        11.5899015474        10.3355966988        31.2659854078         0.0010421995         0.0010160857
6000        12.1509640741        13.5375238752        10.1889429965        35.8774309459         0.0009965953         0.0009969607
7000        16.1630864841        14.8750621512        10.3532932263        41.3914418616         0.0009855105         0.0009597868
8000        18.7152328162        16.2785868585        10.9296546054        45.9234742800         0.0009567390         0.0009372932
9000        20.3092436873        18.0363585262        14.1226387034        52.4682409168         0.0009716341         0.0009278702
10000        20.9015828130        18.6552670269        15.1528278496        54.7096776895         0.0009118280         0.0009160432
11000        22.6982141219        22.7645926800        17.1623792114        62.6251860133         0.0009488665         0.0009017679
12000        25.9604056129        25.4350954176        19.1934075716        70.5889086021         0.0009804015         0.0009126071
13000        25.2668989814        28.2299274600        20.3500563562        73.8468827976         0.0009467549         0.0009175113
14000        27.6356988507        28.3405471972        20.7593919739        76.7356380218         0.0009135195         0.0009120131
15000        27.9926001521        30.6675814803        23.6724682514        82.3326498839         0.0009148072         0.0009013971
16000        27.1700786400        33.1891049380        27.6594971590        88.0186807371         0.0009168613         0.0008945675
17000        29.5253277562        34.4460184089        30.5296533656        94.5009995307         0.0009264804         0.0008915301
18000        33.8532145248        38.1760997364        32.5847005454       104.6140148066         0.0009686483         0.0009008184
19000        37.7227366044        38.4602263697        34.7560654598       110.9390284339         0.0009731494         0.0009139593
20000        41.0796579142        37.1629587729        36.1310251488       114.3736418359         0.0009531137         0.0009197702
21000        45.8490449974        39.7202473255        38.4431899980       124.0124823209         0.0009842261         0.0009294283
22000        47.4032273243        42.9791981738        38.8394805160       129.2219060141         0.0009789538         0.0009379129
23000        48.3570152209        45.9487367349        41.4119144473       135.7176664031         0.0009834614         0.0009449524
24000        50.6064109052        51.5648695124        46.3264870124       148.4977674301         0.0010312345         0.0009570235
25000        51.6689933562        56.5160664336        48.3180448818       156.5031046716         0.0010433540         0.0009772414
26000        53.3392747138        57.1342199936        49.9069353573       160.3804300647         0.0010280797         0.0009903281
27000        55.6660332054        58.0760227747        52.5285131949       166.2705691750         0.0010263615         0.0010007055
28000        57.6371733910        56.0019660776        52.5555569392       166.1946964079         0.0009892541         0.0010041829
29000        57.6889698320        58.2819914760        54.7765029569       170.7474642648         0.0009813073         0.0010009398
30000        56.0168296397        59.3692793567        59.1630973965       174.5492063929         0.0009697178         0.0009979663
31000        57.6566343640        59.1659505087        62.0863042116       178.9088890843         0.0009618757         0.0009931092
32000        57.2163444971        60.0669222185        63.4370070811       180.7202737967         0.0009412514         0.0009861860
33000        57.8108386569        63.5649693855        63.8301612174       185.2059692598         0.0009353837         0.0009784415
34000        56.6091313878        64.8980309766        64.4951600937       186.0023224581         0.0009117761         0.0009702168
35000        58.6821230193        65.8694574858        62.9412785825       187.4928590876         0.0008928231         0.0009587625
36000        62.5471480795        66.4901372318        64.0656150902       193.1029004015         0.0008939949         0.0009478114
37000        65.9511494578        67.7180333743        65.3442469300       199.0134297621         0.0008964569         0.0009379979
38000        67.2967276907        71.1769216621        68.9107876548       207.3844370076         0.0009095809         0.0009313409
39000        70.9069392991        72.4544462968        69.5374025552       212.8987881511         0.0009098239         0.0009264742
40000        71.9875864482        73.9124604823        71.8860675264       217.7861144570         0.0009074421         0.0009217054
41000        74.4795503838        75.0804459356        71.0397733641       220.5997696835         0.0008967470         0.0009166318
42000        74.8829250146        76.3946352166        72.3832790120       223.6608392433         0.0008875430         0.0009110310
43000        76.1439964793        77.4264831304        73.6859169032       227.2563965129         0.0008808387         0.0009045698
44000        78.9018370062        78.3147557179        76.3013342505       233.5179269746         0.0008845376         0.0008993902
45000        82.0765817725        83.5403529700        76.6925916173       242.3095263598         0.0008974427         0.0008957470
46000        83.1118355770        82.1657683787        77.0077906269       242.2853945826         0.0008778456         0.0008922846
47000        86.0612908050        82.8921921704        80.2436461305       249.1971291059         0.0008836778         0.0008875112
48000        88.0034296539        84.0290409066        84.6823165704       256.7147871309         0.0008913708         0.0008847719
49000        90.1364489487        82.9016873613        83.8615028236       256.8996391336         0.0008738083         0.0008812548
50000        93.1587503146        86.6560192716        85.0284414534       264.8432110396         0.0008828107         0.0008779927
51000        94.0555354157        89.8997657916        88.3403407811       272.2956419884         0.0008898550         0.0008761547
52000        95.6131072309        90.8101678949        87.8035512810       274.2268264068         0.0008789321         0.0008741878
53000        92.7090226725        86.5724019089        87.5676102209       266.8490348023         0.0008391479         0.0008694680
54000        93.3892183088        86.5435824977        87.2672958677       267.2000966741         0.0008246917         0.0008620744
55000        94.3371848373        84.3263907965        88.9590135855       267.6225892192         0.0008109775         0.0008549052
56000        97.9339769174        85.1255451631        87.2047273530       270.2642494335         0.0008043579         0.0008466263
57000       100.3812375231        88.3583936531        87.1184041756       275.8580353517         0.0008066024         0.0008389449
58000       104.2200708247        92.9747396355        89.6161483649       286.8109588251         0.0008241694         0.0008332498
59000       103.6172157691        95.9179071378        94.5821113926       294.1172342995         0.0008308396         0.0008287826
60000       104.0665891562        95.8085408063        97.9825401998       297.8576701623         0.0008273824         0.0008252432
61000       107.5200425455        98.4620590968        96.9604311483       302.9425327906         0.0008277118         0.0008218188
62000       111.3816787272       100.4329072554       100.5858540390       312.4004400217         0.0008397861         0.0008194495
63000       115.0236762397       101.5687697763       100.9991594088       317.5916054249         0.0008401894         0.0008179552
64000       121.0206922545       102.1546494843       102.9188198709       326.0941616097         0.0008492035         0.0008171169
65000       118.9336918950        99.4752595924       107.0366247360       325.4455762235         0.0008344758         0.0008159477
66000       121.4234118580       100.2516051820       107.9419028052       329.6169198451         0.0008323660         0.0008141282
67000       119.6523228325       104.5359599668       111.0079983118       335.1962811111         0.0008338216         0.0008123709
68000       123.4100921000       106.2374383415       112.5502591356       342.1977895771         0.0008387201         0.0008112739
69000       128.5944047277       108.0348154262       116.7246662641       353.3538864179         0.0008535118         0.0008109931
70000       130.5895144815       107.8836732855       112.7529412620       351.2261290290         0.0008362527         0.0008108149
71000       137.1046376703       107.6369646427       117.7446241567       362.4862264697         0.0008509066         0.0008106562
72000       136.6164867602       113.2620142839       119.6387142300       369.5172152741         0.0008553639         0.0008111838
73000       134.6024711625       114.5402458497       122.2740356642       371.4167526764         0.0008479835         0.0008115658
74000       132.2967718142       113.9269970923       124.3371318204       370.5609007269         0.0008345966         0.0008110218
75000       134.3111120513       112.1825335929       129.6810172550       376.1746628992         0.0008359437         0.0008100278
76000       133.0543860954       111.1036383518       130.1589209218       374.3169453691         0.0008208705         0.0008087030
77000       131.3349441144       111.3712096981       130.2752727030       372.9814265155         0.0008073191         0.0008065226
78000       136.9948201349       112.3206571032       128.3726343351       377.6881115732         0.0008070259         0.0008039813
79000       137.7390971181       110.9908323628       131.0578577468       379.7877872277         0.0008012401         0.0008014083
80000       139.6445974910       108.2437071380       134.1267165679       382.0150211969         0.0007958646         0.0007983797
81000       138.7179098483       110.2207116751       139.1190124774       388.0576340008         0.0007984725         0.0007955274
82000       145.6133994938       109.6101741437       136.7640138522       391.9875874897         0.0007967227         0.0007929534
83000       146.3696791875       113.6758962515       138.0994991367       398.1450745757         0.0007994881         0.0007906807
84000       149.5094819705       118.4268363151       140.0749587724       408.0112770580         0.0008095462         0.0007890249
85000       153.9869494806       117.6757715545       146.1215652181       417.7842862533         0.0008191849         0.0007882134
86000       158.8766904271       120.3117230295       151.4172008119       430.6056142685         0.0008345070         0.0007883262
87000       154.8697769676       124.5611218468       155.7035979280       435.1344967424         0.0008335910         0.0007892279
88000       154.6230801629       125.9054759254       157.5444068355       438.0729629238         0.0008296836         0.0007895592
89000       158.5418384090       129.9550585504       159.7146460868       448.2115430462         0.0008393475         0.0007905220
90000       162.6499693207       128.9816339738       163.4340709665       455.0656742611         0.0008427142         0.0007913872
91000       162.9197557235       134.8499327728       159.7579144948       457.5276029911         0.0008379626         0.0007924159
92000       166.3184055448       128.5870909635       161.4612610428       456.3667575511         0.0008267514         0.0007927003
93000       165.6479166045       132.4442830616       159.9419007505       458.0341004166         0.0008208496         0.0007925384
94000       168.5611542659       131.2809055543       165.0612135332       464.9032733534         0.0008242966         0.0007925960
95000       172.1069294916       130.9729340637       168.1362710258       471.2161345811         0.0008266950         0.0007927060
96000       170.9873291121       132.1905106425       174.0128581736       477.1906979282         0.0008284561         0.0007931700
97000       173.8627419402       129.9804748899       175.5153828699       479.3585997000         0.0008236402         0.0007932773
98000       172.4304289943       134.3244304318       178.0298724238       484.7847318499         0.0008244638         0.0007931344
99000       175.4338794067       134.2072762423       179.2448353216       488.8859909706         0.0008230404         0.0007931421
100000       173.1114115585       136.3991285207       182.6413333925       492.1518734717         0.0008202531         0.0007927749
101000       179.5295412388       137.8011991692       182.6935105492       500.0242509572         0.0008251225         0.0007927254
102000       181.0249080650       142.7219851047       181.2982205821       505.0451137518         0.0008252371         0.0007926558
103000       183.1130662470       142.3096581197       186.7590013986       512.1817257653         0.0008287730         0.0007932125
104000       180.4435113598       146.7199294899       189.5979530661       516.7613939157         0.0008281433         0.0007936467
105000       182.7106342581       148.3807809291       188.9842461340       520.0756613212         0.0008255169         0.0007940222
106000       181.9107878315       149.6582427437       193.6019757269       525.1710063021         0.0008257406         0.0007942349
107000       188.3878804888       154.1674306557       191.9896478075       534.5449589521         0.0008326245         0.0007946783
108000       190.0663339181       152.8370963156       191.1932168924       534.0966471261         0.0008242232         0.0007950889
109000       185.1817880362       154.9000846813       195.8004729914       535.8823457089         0.0008193920         0.0007949640
110000       191.7924440286       159.5408771413       193.6601268762       544.9934480461         0.0008257476         0.0007948616
111000       195.4041502725       169.6020113857       199.5576639043       564.5638255626         0.0008476934         0.0007956545
112000       200.2485987706       169.9992859428       200.8799374498       571.1278221632         0.0008498926         0.0007970993
113000       200.2067433655       171.9838190165       195.2867757725       567.4773381545         0.0008369872         0.0007981871
114000       203.0786275936       176.7348586783       195.7559884772       575.5694747492         0.0008414758         0.0007991269
115000       205.4693815440       178.7639885880       194.0346997622       578.2680698943         0.0008380697         0.0007999237
116000       203.2029025214       183.2907851630       197.6552655783       584.1489532627         0.0008392945         0.0008005547
117000       206.7357654335       183.3469042744       200.6716355051       590.7543052129         0.0008415303         0.0008014134
118000       210.5478751198       182.8618261307       201.4790090923       594.8887103427         0.0008402383         0.0008022228
119000       204.0865012198       187.7806808111       206.1190591122       597.9862411430         0.0008375157         0.0008030658
120000       210.1095602653       181.7597548075       208.4099679400       600.2792830127         0.0008337212         0.0008035007
121000       214.0734467838       187.2567351568       210.6143843422       611.9445662827         0.0008428989         0.0008042006
122000       212.7851890136       188.9300447746       214.5881411396       616.3033749277         0.0008419445         0.0008048797
123000       218.3657426591       194.1060913356       210.5859097971       623.0577437918         0.0008442517         0.0008057742
124000       220.1500140954       193.9428068018       214.6670275089       628.7598484061         0.0008451073         0.0008065773
125000       219.9583877356       200.8563169796       210.5731775375       631.3878822527         0.0008418505         0.0008075053
126000       228.5821364918       199.7652883978       210.8074252875       639.1548501772         0.0008454429         0.0008082320
127000       233.2344243548       209.4457348380       205.3970141928       648.0771733856         0.0008504950         0.0008092387
128000       238.9108044955       211.7234723142       208.5174973092       659.1517741188         0.0008582705         0.0008104507
129000       242.2066294185       219.0904022508       210.3733614230       671.6703930923         0.0008677912         0.0008121477
130000       248.5482991402       212.9132330924       210.2654897225       671.7270219552         0.0008611885         0.0008138590
131000       255.9234696225       214.2048692468       207.7989643362       677.9273032055         0.0008625029         0.0008151919
132000       259.9580919795       219.8836555971       208.7046526342       688.5464002108         0.0008693768         0.0008168331
133000       264.3857028089       223.3071048428       204.0157354577       691.7085431093         0.0008668027         0.0008184456
134000       270.8657662848       222.2337220721       208.2603210077       701.3598093646         0.0008723381         0.0008201091
135000       273.5769803500       221.8764150493       214.0949847267       709.5483801260         0.0008759857         0.0008218375
136000       274.5988991547       223.4382281443       209.9955506475       708.0326779464         0.0008676871         0.0008232731
137000       278.6356923216       219.4382643827       206.1505513206       704.2245080249         0.0008567208         0.0008243916
138000       277.4540937779       219.8309523412       208.2510981206       705.5361442398         0.0008520968         0.0008251724
139000       276.2710466587       226.8637143598       218.8961923338       722.0309533523         0.0008657445         0.0008261205
140000       273.2167643973       228.5653937359       225.5504501094       727.3326082426         0.0008658722         0.0008271825
141000       267.3525904235       227.5589600915       223.5479694485       718.4595199635         0.0008492429         0.0008279722
142000       274.6320302325       229.6883837735       225.9154282643       730.2358422702         0.0008570843         0.0008285568
143000       275.3940894564       237.2748372337       224.7327379139       737.4016646041         0.0008594425         0.0008293194
144000       282.3255877317       239.9378504758       222.2746333824       744.5380715899         0.0008617339         0.0008301348
145000       284.2433729021       236.0951406650       218.9878982188       739.3264117859         0.0008498005         0.0008308868
146000       287.5682360053       240.0388188180       221.0808849638       748.6879397871         0.0008546666         0.0008313217
147000       281.9650660433       242.1982713639       224.7791616084       748.9424990155         0.0008491412         0.0008318752
148000       283.7835859041       243.6206959856       222.3142051351       749.7184870248         0.0008442776         0.0008320573
149000       287.7227097319       250.0822622117       221.5163299183       759.3213018619         0.0008493527         0.0008322421
150000       289.5701023172       249.9683328548       227.0065302772       766.5449654491         0.0008517166         0.0008326299
151000       293.9852273913       250.3186794516       221.7078339802       766.0117408230         0.0008454876         0.0008329004
152000       289.5414171172       254.0437407619       224.3623608669       767.9475187460         0.0008420477         0.0008330133
153000       299.9546544958       251.3905460910       227.3584003702       778.7036009571         0.0008482610         0.0008331804
154000       299.2221183462       253.6418535004       229.4259879700       782.2899598166         0.0008466342         0.0008335095
155000       298.4765899869       251.4564451728       231.0499615215       780.9829966813         0.0008397667         0.0008335941
156000       299.2423657071       252.1926046581       225.5449439327       776.9799142979         0.0008301067         0.0008332862
157000       293.2016790577       249.0210779892       226.9088240374       769.1315810843         0.0008164879         0.0008327038
158000       298.0248864873       252.8754317570       222.8358556211       773.7361738653         0.0008161774         0.0008318711
159000       299.8874207725       256.6545962009       225.2036917979       781.7457087713         0.0008194399         0.0008311006
160000       307.6354528647       262.9187799536       217.4932263880       788.0474592063         0.0008208828         0.0008303436
161000       302.2043231375       262.2386484888       219.7806179320       784.2235895583         0.0008118257         0.0008296118
