# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.3373253280         1.0382740123         1.1172352910         3.4928346313         0.0005821391         0.0006075586
2000         1.8262370743         1.9216765897         1.4731383105         5.2210519745         0.0004350877         0.0004261160
3000         2.2792336945         2.2643159761         1.8634408219         6.4069904925         0.0003559439         0.0003309164
4000         2.7460876095         3.0438857772         2.4049128215         8.1948862082         0.0003414536         0.0002926239
5000         3.5137938638         3.6211568818         3.1332496457        10.2682003913         0.0003422733         0.0002938854
6000         4.1333508780         4.0848897592         3.1199275457        11.3381681829         0.0003149491         0.0002881316
7000         4.4743342795         4.5166580032         3.4004348904        12.3914271731         0.0002950340         0.0002767634
8000         4.3211982874         4.7909997115         3.4132205236        12.5254185225         0.0002609462         0.0002532448
9000         5.4293105403         5.3000755741         4.2000840312        14.9294701456         0.0002764717         0.0002401305
10000         5.9339848432         5.2918578936         4.2636390735        15.4894818104         0.0002581580         0.0002376779
11000         5.6156210830         5.3849464639         4.3893427729        15.3899103198         0.0002331805         0.0002245663
12000         4.9790829453         5.1976710971         3.8942321141        14.0709861564         0.0001954304         0.0002035402
13000         4.7997507579         5.5797584895         4.5188854409        14.8983946883         0.0001910051         0.0001817228
14000         4.7265609846         5.5530422687         4.4614734113        14.7410766647         0.0001754890         0.0001663453
15000         4.9194755302         5.6257445333         4.8145242971        15.3597443606         0.0001706638         0.0001530895
16000         5.2964285302         5.9486675613         5.0442068463        16.2893029378         0.0001696802         0.0001440297
17000         6.0065233201         6.5622341171         4.9969825177        17.5657399549         0.0001722131         0.0001386483
18000         6.7108329228         6.7333091748         5.2931889130        18.7373310106         0.0001734938         0.0001357179
19000         6.5343604960         6.7252502332         4.8755022136        18.1351129428         0.0001590799         0.0001320939
20000         6.6685928043         6.8668892266         4.9816162608        18.5170982916         0.0001543092         0.0001275705
21000         7.0172608095         6.9967225133         5.7545006963        19.7684840190         0.0001568927         0.0001231743
22000         8.1900541095         7.2574786715         6.0618618894        21.5093946704         0.0001629500         0.0001228481
23000         7.2899584113         7.5365581636         6.7172882927        21.5438048675         0.0001561145         0.0001226551
24000         7.5628127015         7.4143233286         6.2701716155        21.2473076457         0.0001475507         0.0001199307
25000         7.6025011764         7.9199060218         6.4831100220        22.0055172203         0.0001467034         0.0001181736
26000         7.9518170046         8.2241116204         6.4718191731        22.6477477981         0.0001451779         0.0001162076
27000         7.9633920703         8.5061786346         6.6494029528        23.1189736577         0.0001427097         0.0001144402
28000         8.2105220480         8.6948420731         7.0039408411        23.9093049623         0.0001423173         0.0001132922
29000         7.5536204948         9.0036832469         7.6194451468        24.1767488886         0.0001389468         0.0001119302
30000         7.8950616968         9.0942889144         7.9505446073        24.9398952185         0.0001385550         0.0001110171
31000         9.0440861489        10.0733431631         8.1039898708        27.2214191828         0.0001463517         0.0001111081
32000         9.2609925137         9.9025375462         8.0510058363        27.2145358962         0.0001417424         0.0001114740
33000         9.1752555891        10.0138080116         7.8522098912        27.0412734919         0.0001365721         0.0001109745
34000         9.1363718868         9.8246476694         7.8636606521        26.8246802084         0.0001314935         0.0001101076
35000        10.0324509233         9.4238359218         8.0534438157        27.5097306609         0.0001309987         0.0001087775
36000        10.0235925687         9.5785009825         8.6755661940        28.2776597452         0.0001309151         0.0001077744
37000         9.8386764146         9.3097661174         8.0297751389        27.1782176708         0.0001224244         0.0001064400
38000         9.9339770263         9.6784325534         8.6157888855        28.2281984652         0.0001238079         0.0001048888
39000        10.2609073863        10.7613129870         8.1628322095        29.1850525827         0.0001247224         0.0001035867
