,pressure[bar],diffusivity[m2/s],errordiffusivity[m2/s]
0,0.025,2.6211807254278547e-09,3.1634616351973333e-10
1,0.05,3.339315029095324e-09,3.299072748696978e-10
2,0.075,4.456975481626032e-09,6.618378913672812e-10
3,0.1,4.879738470342242e-09,5.790706444929301e-10
4,0.125,5.508779744186043e-09,7.36852737609087e-10
5,0.15,6.288026783284958e-09,2.9045251346364984e-10
6,0.175,7.454084628150262e-09,3.658293865314451e-10
7,0.2,7.650492889543179e-09,1.0517850917835468e-09
8,0.225,7.74016692936154e-09,3.231585770034302e-10
9,0.25,7.85733478379838e-09,5.652242839712872e-10
10,0.275,5.243497171334928e-09,1.5055059089904702e-10
11,0.3,5.253191852709382e-09,1.2490921090962656e-10
12,0.325,4.845393983323876e-09,1.6064375643896394e-10
13,0.35,5.336834129965044e-09,1.834473513128832e-10
14,0.375,4.65732170571526e-09,1.033460299177505e-10
15,0.4,4.733473587692462e-09,1.2294254832871063e-10
16,0.425,4.832973862121959e-09,1.3972579899910654e-10
17,0.45,4.447577026937285e-09,1.864534345077744e-10
18,0.475,4.766958125841969e-09,2.592556725393014e-10
19,0.5,4.3875306213416554e-09,7.598616733158444e-11
20,0.525,4.594470723079769e-09,
21,0.55,4.5203112333444405e-09,
22,0.575,4.683700072935227e-09,
23,0.6,4.527504859357292e-09,
24,0.625,4.318381835907972e-09,
25,0.65,4.552942554885579e-09,
26,0.675,4.0253958506882566e-09,
27,0.7,4.427010716986763e-09,
28,0.725,4.227303213023145e-09,
29,0.75,4.045306942686245e-09,
30,0.775,4.1180386442448305e-09,
31,0.8,4.327751921436687e-09,
32,0.825,4.2536122786042605e-09,
33,0.85,4.12979154024008e-09,
34,0.875,3.815909632016548e-09,
35,0.9,3.990170565530405e-09,
36,0.925,3.885741695893075e-09,
37,0.95,4.2311936616520066e-09,
38,0.975,3.801912191283352e-09,
39,1.0,4.0836160940490646e-09,
