# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.1690248402         2.3148396057         2.0966698444         6.5805342903         0.0010967557         0.0011784094
2000         5.3698988438         4.3544519881         3.9910167677        13.7153675995         0.0011429473         0.0012204197
3000         7.2105557012         5.3784661878         4.8235773909        17.4125992799         0.0009673666         0.0010603861
4000         8.3514274869         7.1423094369         7.2463315650        22.7400684888         0.0009475029         0.0009244837
5000        10.1063200070         9.1927528401         9.5649333116        28.8640061588         0.0009621335         0.0009276488
6000        12.1410336164        10.4401025780        10.1093528844        32.6904890788         0.0009080691         0.0009008589
7000        13.6340823575        12.1408128730        11.2091698960        36.9840651265         0.0008805730         0.0008762949
8000        15.3041268745        13.5230813789        12.5997721864        41.4269804397         0.0008630621         0.0008455404
9000        16.2084216481        15.5983177130        14.8340079697        46.6407473307         0.0008637175         0.0008321614
10000        17.8542069789        17.2359439704        17.4845559720        52.5747069213         0.0008762451         0.0008318285
11000        19.5051484022        17.8138373596        18.4385290048        55.7575147666         0.0008448108         0.0008246768
12000        21.5573659849        20.0077365404        20.1291397121        61.6942422374         0.0008568645         0.0008197319
13000        22.3188663422        22.8633430978        20.1170055922        65.2992150322         0.0008371694         0.0008154918
14000        24.2385892879        24.1874961276        22.0418821399        70.4679675554         0.0008389044         0.0008110196
15000        27.3488935696        25.7656016714        24.2967912803        77.4112865212         0.0008601254         0.0008101754
16000        30.8934545067        27.4304512033        25.0632212771        83.3871269871         0.0008686159         0.0008181584
17000        34.9911108392        29.7460704738        25.4395410323        90.1767223453         0.0008840855         0.0008288380
18000        40.3181576121        30.4240898361        27.6248979349        98.3671453832         0.0009108069         0.0008444753
19000        42.5113731976        32.4933657680        29.3330643434       104.3378033090         0.0009152439         0.0008612083
20000        43.1217409177        32.2256255052        29.3271329177       104.6744993406         0.0008722875         0.0008673767
21000        42.6775941589        34.6936237698        30.5524817398       107.9236996685         0.0008565373         0.0008651252
22000        45.9509127135        34.5385657558        31.4546913536       111.9441698229         0.0008480619         0.0008596748
23000        45.8528959659        35.9639474353        33.0710257445       114.8878691457         0.0008325208         0.0008534542
24000        47.2605444607        39.3891176444        34.8965568849       121.5462189900         0.0008440710         0.0008483162
25000        48.1003111764        42.8553635323        38.6339679574       129.5896426660         0.0008639310         0.0008456458
26000        49.0971883405        44.5167840031        41.7668461856       135.3808185292         0.0008678258         0.0008487138
27000        50.4077987322        44.6441920822        46.8324640823       141.8844548966         0.0008758300         0.0008504195
28000        51.2679374032        46.4821563871        50.0584121668       147.8085059571         0.0008798125         0.0008554747
29000        54.5093104178        50.8208007545        52.1297100272       157.4598211995         0.0009049415         0.0008604309
30000        62.2180234396        51.8390581563        54.5712104034       168.6282919993         0.0009368238         0.0008714862
31000        66.5545919628        53.6330192074        60.3577081128       180.5453192829         0.0009706738         0.0008869712
32000        69.5786600740        52.4723278214        60.5618958286       182.6128837241         0.0009511088         0.0009007038
33000        72.4666721092        51.5696226453        62.4722746483       186.5085694028         0.0009419625         0.0009099308
34000        74.9160243652        53.0849753302        63.1452319442       191.1462316396         0.0009369913         0.0009157425
35000        74.2744461776        53.7153825636        63.9545241831       191.9443529243         0.0009140207         0.0009188622
36000        75.7778973538        54.7760703027        65.9386414146       196.4926090711         0.0009096880         0.0009191289
37000        76.8615129268        54.3654489127        68.2338089757       199.4607708152         0.0008984719         0.0009192143
38000        79.8841903083        56.3007694463        69.5475525675       205.7325123221         0.0009023356         0.0009180546
39000        81.7346070580        56.1132563649        72.9046703045       210.7525337274         0.0009006519         0.0009183341
40000        85.5545354003        56.9328470718        72.5244701825       215.0118526545         0.0008958827         0.0009166385
41000        87.9288856701        58.1373442169        75.6830377904       221.7492676774         0.0009014198         0.0009153348
42000        89.4713003368        59.2271040514        77.1947706938       225.8931750820         0.0008964015         0.0009142748
43000        92.6217201832        61.1967614473        81.1290212454       234.9475028759         0.0009106492         0.0009140149
44000        93.6631043465        62.7285885142        79.3906002289       235.7822930895         0.0008931147         0.0009135051
45000        97.2309010193        62.2925668512        80.0567791438       239.5802470143         0.0008873342         0.0009117752
46000       100.9692699611        64.6906326366        79.4957298602       245.1556324579         0.0008882450         0.0009095945
47000        99.9327996613        64.9414631505        83.6349897744       248.5092525861         0.0008812385         0.0009071030
48000       102.2184912746        65.3341354765        88.9560462984       256.5086730495         0.0008906551         0.0009049911
49000       107.6496944503        66.5729495703        95.4067458392       269.6293898599         0.0009171068         0.0009056083
50000       112.6096573652        69.4304532313       100.0550441312       282.0951547277         0.0009403172         0.0009084608
51000       114.5498147138        72.7532151514       100.4475346658       287.7505645310         0.0009403613         0.0009132362
52000       112.7795536684        71.3090655520       103.2139320124       287.3025512328         0.0009208415         0.0009157458
53000       116.2043655654        73.2840272469       106.9902311170       296.4786239293         0.0009323227         0.0009178006
54000       117.2245950742        80.2899774130       107.8648043204       305.3793768075         0.0009425289         0.0009208910
55000       117.9116749783        83.3525842086       109.1402284652       310.4044876521         0.0009406197         0.0009240171
56000       112.6330229894        85.3072049722       114.9631305529       312.9033585145         0.0009312600         0.0009260165
57000       113.5785614676        85.1150594037       113.9915779073       312.6851987785         0.0009142842         0.0009267884
58000       116.7124252175        83.5021519130       116.0986362190       316.3132133496         0.0009089460         0.0009263582
59000       115.8185410575        86.9948050540       118.6369476300       321.4502937416         0.0009080517         0.0009252754
60000       117.8926850818        88.8087292561       119.7441706773       326.4455850152         0.0009067933         0.0009243592
61000       118.0943748958        91.6405556986       122.4925352183       332.2274658126         0.0009077253         0.0009236323
62000       118.7176877082        92.1449459996       127.9737746697       338.8364083775         0.0009108506         0.0009229147
63000       120.6226982919        95.8003716912       128.0819749319       344.5050449150         0.0009113890         0.0009224845
64000       121.7708526797        97.5324633546       127.8991036989       347.2024197332         0.0009041730         0.0009215824
65000       120.2058521503        98.1202318123       131.6173558593       349.9434398219         0.0008972909         0.0009200731
66000       124.5643864230        99.8645705136       134.2307550784       358.6597120150         0.0009057063         0.0009188484
67000       128.7622718363       100.0326888955       138.3796571781       367.1746179099         0.0009133697         0.0009186787
68000       130.8447161134       106.0487915866       138.3711071696       375.2646148696         0.0009197662         0.0009190595
69000       133.9823899667       110.9997304849       143.8047758569       388.7868963086         0.0009390988         0.0009207229
70000       135.6049918332       113.1743985379       142.3989066503       391.1782970213         0.0009313769         0.0009226530
71000       141.9461994983       112.5880506683       142.2424896513       396.7767398179         0.0009314008         0.0009243355
72000       142.5766109620       118.2242930436       148.9100409696       409.7109449753         0.0009484050         0.0009266453
