10,3.2,6.6,0.2
20,6.0,13.2,0.8
30,11.8,17.0,1.2
40,13.2,24.6,2.2
50,19.4,28.2,2.4
60,23.4,33.4,3.2
70,25.4,41.0,3.6
80,27.6,47.2,5.2
90,27.2,54.0,8.8
100,32.2,61.0,6.8
120,34.0,73.8,12.2
130,34.2,80.0,15.8
140,33.6,86.2,20.2
150,36.8,98.6,14.6
160,35.8,100.0,24.2
170,36.6,108.2,25.2
180,34.6,115.2,30.2
190,34.8,115.6,39.6
200,38.8,116.4,44.8
250,39.2,148.0,62.8
350,39.8,184.8,125.4
400,42.4,194.8,162.8
450,46.6,204.4,199.0
