# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.6255741194         2.0791668813         2.3642463551         7.0689873558         0.0011781646         0.0012589210
2000         5.4830441425         4.5150577239         4.8664127575        14.8645146238         0.0012387096         0.0012909655
3000         7.7734247305         6.8524978507         8.1926568225        22.8185794038         0.0012676989         0.0012959211
4000         9.4401137680         9.2080123785        10.3913503351        29.0394764816         0.0012099782         0.0012600115
5000        11.6054955653        11.6809965272        12.9477096859        36.2342017784         0.0012078067         0.0012374940
6000        11.9404403839        12.2965266360        13.7763870258        38.0133540457         0.0010559265         0.0011516540
7000        12.9838456380        13.5859271484        15.3279123201        41.8976851065         0.0009975639         0.0010474855
8000        13.8575143961        15.6132655753        16.3554148701        45.8261948416         0.0009547124         0.0009739898
9000        14.9896382919        18.0431545556        16.8986100408        49.9314028883         0.0009246556         0.0009160153
10000        15.7478200841        17.9571513998        18.4121980746        52.1171695585         0.0008686195         0.0008628895
11000        16.1757484461        20.6801515294        21.1410020922        57.9969020677         0.0008787409         0.0008230917
12000        18.4589531870        25.6392464600        23.7060922216        67.8042918687         0.0009417263         0.0008263734
13000        21.5992351731        26.7285173730        24.7431235390        73.0708760852         0.0009368061         0.0008419419
14000        25.7171773231        25.2198239122        25.8661301244        76.8031313598         0.0009143230         0.0008497695
15000        27.4075542045        25.6733507314        27.5145835257        80.5954884617         0.0008955054         0.0008487099
16000        29.5654244487        25.1864429917        28.7222601613        83.4741276017         0.0008695222         0.0008393144
17000        32.1390634154        27.8112683703        31.3097654449        91.2600972306         0.0008947068         0.0008334721
18000        33.3370162240        30.2729081291        31.6729081546        95.2828325077         0.0008822484         0.0008359159
19000        35.6877572127        32.8575246681        32.0481646431       100.5934465238         0.0008823987         0.0008333399
20000        37.6733252136        35.2872644183        31.6127446257       104.5733342576         0.0008714445         0.0008303041
21000        40.8663302368        37.9867769851        34.9687172979       113.8218245198         0.0009033478         0.0008325861
22000        44.0641966922        40.0382359210        37.5164384500       121.6188710631         0.0009213551         0.0008420703
23000        44.9461204314        38.5386829743        38.5317636604       122.0165670661         0.0008841780         0.0008466949
24000        46.2767810563        39.8619441566        39.4355939356       125.5743191484         0.0008720439         0.0008437817
25000        47.0591874060        42.7302155403        40.4270659650       130.2164689114         0.0008681098         0.0008414918
26000        49.9484210332        46.4819471610        42.2568520017       138.6872201960         0.0008890206         0.0008427981
27000        51.8915074166        49.8002863308        44.9505984597       146.6423922071         0.0009052000         0.0008466555
28000        54.1092007793        52.3998166839        45.7666968884       152.2757143516         0.0009064031         0.0008517128
29000        58.1960264062        52.9303762686        46.6942433125       157.8206459874         0.0009070152         0.0008565027
30000        59.1506769010        51.4949917609        51.4702149073       162.1158835691         0.0009006438         0.0008608085
31000        58.5459310640        55.1985213056        53.8508142181       167.5952665876         0.0009010498         0.0008631979
32000        56.5912527919        57.2316933624        56.1313923216       169.9543384759         0.0008851788         0.0008643044
33000        53.6967936613        57.7808511423        57.0780257002       168.5556705038         0.0008512913         0.0008595920
34000        55.0681894511        60.7589947017        58.7288037150       174.5559878679         0.0008556666         0.0008549161
35000        55.4907034083        63.7121720757        62.1277977721       181.3306732560         0.0008634794         0.0008521845
36000        58.3745709792        66.0557237372        65.7245611694       190.1548558858         0.0008803466         0.0008528427
37000        60.5670620278        69.2898322390        68.6100238297       198.4669180965         0.0008939951         0.0008551852
38000        60.8424569897        72.3901582014        68.7764027932       202.0090179843         0.0008860045         0.0008569412
39000        62.2579334684        74.1960394454        73.2317613593       209.6857342731         0.0008960929         0.0008585398
40000        65.2741748174        77.1125484867        78.4029601352       220.7896834393         0.0009199570         0.0008630412
41000        65.5833980052        74.6583692730        82.4159412605       222.6577085387         0.0009051126         0.0008673484
42000        66.4401792081        76.2042934219        83.7307803480       226.3752529780         0.0008983145         0.0008693279
43000        68.4699685422        77.2458833059        85.2514073107       230.9672591588         0.0008952219         0.0008699624
44000        66.6173585798        80.9273151242        85.6024122370       233.1470859409         0.0008831329         0.0008713596
45000        65.3245501046        80.8077287486        87.8350321403       233.9673109935         0.0008665456         0.0008698962
46000        67.2792325206        83.3779186127        85.7484415564       236.4055926897         0.0008565420         0.0008665636
47000        70.1860679546        83.7753820974        86.2929389673       240.2543890193         0.0008519659         0.0008624385
48000        71.5431696118        87.2535772794        87.9544938687       246.7512407599         0.0008567751         0.0008591011
49000        73.7918591804        91.3962304496        89.9417299021       255.1298195321         0.0008677885         0.0008577451
50000        73.4096458337        98.0818939231        91.3691473993       262.8606871561         0.0008762023         0.0008579152
51000        74.3428445865       101.6953797472        91.5828550278       267.6210793615         0.0008745787         0.0008577653
52000        77.2311831032        97.8429544096        93.5142140181       268.5883515308         0.0008608601         0.0008569196
53000        79.7374044966        99.4671814726        95.9128291016       275.1174150708         0.0008651491         0.0008555042
54000        82.6813125791        98.6280261479       101.8091825499       283.1185212769         0.0008738226         0.0008555372
55000        83.7984020731       100.7624180924        96.4223958343       280.9832159999         0.0008514643         0.0008547544
56000        85.2431044402       104.8528163385        98.2657132265       288.3616340052         0.0008582191         0.0008529609
57000        88.7123633911       107.8659440589        99.0085086894       295.5868161393         0.0008642889         0.0008521059
58000        89.6726919262       109.6326476155       101.6779016877       300.9832412294         0.0008648944         0.0008511546
59000        94.9647557543       114.2730000430       103.0700648516       312.3078206489         0.0008822255         0.0008515484
60000       100.6327902366       117.4133767384       102.9588731595       321.0050401346         0.0008916807         0.0008533041
61000       102.2440225867       117.8917526014       103.3082910776       323.4440662657         0.0008837270         0.0008549636
62000       104.1770559057       120.5866222757       102.4330410258       327.1967192071         0.0008795611         0.0008559487
63000       104.8071378856       120.6704566893       103.9119652405       329.3895598154         0.0008714010         0.0008565313
64000       107.4006011284       122.3289587404       106.5966383435       336.3261982122         0.0008758495         0.0008568299
65000       113.9128214592       121.9755759870       109.3714654706       345.2598629168         0.0008852817         0.0008577836
66000       118.8366581188       125.9465295686       111.5720530341       356.3552407215         0.0008998870         0.0008597700
67000       118.4342234682       126.5223581806       115.6877238107       360.6443054596         0.0008971251         0.0008623663
68000       122.6951899327       125.2386822215       119.5042721639       367.4381443180         0.0009005837         0.0008645987
69000       125.8980601940       123.7864777683       124.0974025525       373.7819405148         0.0009028549         0.0008669145
70000       127.8311825229       122.5167016983       123.2209946691       373.5688788904         0.0008894497         0.0008682004
71000       130.2329112626       128.1558983885       128.7692575894       387.1580672404         0.0009088218         0.0008703737
72000       131.0825393922       129.4625578223       126.5527680581       387.0978652726         0.0008960599         0.0008722409
73000       132.4699916704       129.5515233400       124.3771371146       386.3986521250         0.0008821887         0.0008732727
74000       132.5949817814       132.4081885725       129.7002218148       394.7033921686         0.0008889716         0.0008737920
75000       130.9751372999       129.2237725296       134.1515637895       394.3504736190         0.0008763344         0.0008742113
76000       132.7119197361       132.6527958079       132.8603404383       398.2250559823         0.0008733006         0.0008738865
77000       136.5486983216       138.0631058117       132.5102798504       407.1220839836         0.0008812166         0.0008736609
78000       142.8734746708       135.1802048602       136.7285155821       414.7821951131         0.0008862867         0.0008739603
79000       143.2902275264       142.2477680400       136.3490297899       421.8870253563         0.0008900570         0.0008745849
80000       147.0265499145       142.8579168628       137.3092227402       427.1936895175         0.0008899869         0.0008755671
81000       143.1390889644       142.9372820264       139.6439333874       425.7203043782         0.0008759677         0.0008756250
82000       137.6032036721       146.2898488562       145.0988676731       428.9919202014         0.0008719348         0.0008750358
