# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.1918267052         1.3968977273         1.2462363437         3.8349607763         0.0006391601         0.0006824615
2000         1.7601508931         2.2525382600         2.2032971222         6.2159862752         0.0005179989         0.0005029504
3000         2.0282539066         2.2657726925         2.6019896497         6.8960162489         0.0003831120         0.0003630186
4000         2.6114545877         2.8554907439         3.4279367634         8.8948820950         0.0003706201         0.0003120446
5000         3.1171853888         3.0541165994         3.7881556535         9.9594576417         0.0003319819         0.0002887448
6000         3.7208951147         3.1572208012         3.7837948206        10.6619107365         0.0002961642         0.0002671863
7000         3.6455342346         3.3894463280         4.0285676370        11.0635481996         0.0002634178         0.0002373109
8000         3.9809346539         4.0762103814         4.3519940244        12.4091390597         0.0002585237         0.0002196935
9000         4.0238513114         3.7860063099         4.3219417243        12.1317993456         0.0002246630         0.0002029002
10000         3.8737071066         3.9979923354         4.6274341682        12.4991336102         0.0002083189         0.0001821276
11000         4.3110871418         4.5584136144         4.8776474858        13.7471482421         0.0002082901         0.0001691249
12000         4.5085515663         4.1959829466         5.4056832436        14.1102177566         0.0001959752         0.0001606772
13000         4.3189605126         4.6606388433         5.1922985759        14.1718979319         0.0001816910         0.0001498519
14000         4.7518382608         5.2268353377         5.4832109547        15.4618845532         0.0001840701         0.0001429445
15000         5.1823799762         5.7215341103         5.7815996804        16.6855137668         0.0001853946         0.0001405850
16000         5.0690778731         6.1427444033         5.9320667312        17.1438890076         0.0001785822         0.0001391561
17000         5.5751900525         7.3708044985         5.9160972834        18.8620918344         0.0001849225         0.0001382735
18000         5.5221636528         6.6200324385         5.5772572051        17.7194532964         0.0001640690         0.0001362445
19000         6.1216391603         6.5343984030         5.9917557238        18.6477932872         0.0001635771         0.0001314371
20000         5.6709709088         6.3699911547         6.4532482588        18.4942103223         0.0001541184         0.0001282419
21000         5.9076313020         6.4934683597         6.6760211605        19.0771208223         0.0001514057         0.0001237403
22000         5.8391143813         7.0199091065         7.0982308217        19.9572543096         0.0001511913         0.0001211365
23000         6.2145561527         7.1684819377         6.6117324871        19.9947705775         0.0001448896         0.0001186808
24000         6.2477696438         8.2227277604         7.3754484737        21.8459458779         0.0001517080         0.0001171045
25000         6.2283461196         7.6618991657         7.2570001610        21.1472454464         0.0001409816         0.0001155362
26000         6.2589023829         7.9251930969         8.0577249052        22.2418203850         0.0001425758         0.0001134076
27000         6.2684181673         7.5470271887         8.5065423708        22.3219877269         0.0001377900         0.0001124014
