# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.4802493132         1.1968830552         1.2490699827         3.9262023512         0.0006543671         0.0007080216
2000         2.2286320005         2.0770753744         1.9209660805         6.2266734554         0.0005188895         0.0004983913
3000         2.8994078415         2.2987986970         2.4532606534         7.6514671919         0.0004250815         0.0004060612
4000         3.2525135320         2.6953024399         2.8067606385         8.7545766104         0.0003647740         0.0003455947
5000         3.3319976861         3.1510170939         3.1493303063         9.6323450863         0.0003210782         0.0002955415
6000         4.0611902107         3.8627633796         3.4532590825        11.3772126728         0.0003160337         0.0002701949
7000         4.9611861994         4.6731532394         3.8966701515        13.5310095903         0.0003221669         0.0002686965
8000         5.5968304453         4.6994375093         4.1640518195        14.4603197741         0.0003012567         0.0002620202
9000         6.0633318129         5.4256093493         4.6347069989        16.1236481612         0.0002985861         0.0002587685
10000         6.7089894019         5.5872847295         5.0453765741        17.3416507056         0.0002890275         0.0002562855
11000         6.9986158055         5.6562031703         5.8686616058        18.5234805816         0.0002806588         0.0002506361
12000         6.7323887391         5.9092389252         5.6217166322        18.2633442966         0.0002536576         0.0002416817
13000         7.3825372716         6.7590737483         5.5806302232        19.7222412431         0.0002528492         0.0002303333
14000         8.0560786803         7.1320884457         5.6935144537        20.8816815797         0.0002485914         0.0002255832
15000         8.8818677448         6.9667935629         6.1415384448        21.9901997525         0.0002443356         0.0002195553
16000         9.6190865928         7.3547543976         6.2092300782        23.1830710686         0.0002414903         0.0002153593
17000         9.6797155716         7.5412897574         6.3814719123        23.6024772413         0.0002313968         0.0002115585
18000        10.1832972644         7.8323592444         6.5109794286        24.5266359374         0.0002270985         0.0002061918
19000        10.1863034023         8.1548947125         6.5697650673        24.9109631821         0.0002185172         0.0002007581
20000        10.2764706179         8.3576925660         7.0352343225        25.6693975064         0.0002139116         0.0001963489
21000        10.4707241256         9.2087746353         7.4377326687        27.1172314295         0.0002152161         0.0001919725
22000        10.8219140562         9.7548666313         7.9039211331        28.4807018207         0.0002157629         0.0001899617
23000        10.7080217402        10.0358212056         7.7285500572        28.4723930030         0.0002063217         0.0001869164
24000        10.7526571145         9.9239419332         8.8910284620        29.5676275097         0.0002053307         0.0001845096
25000        10.9210864990        10.4636330838         8.8442108888        30.2289304716         0.0002015262         0.0001813361
26000        11.5352714500        10.7880797091         9.3560991486        31.6794503077         0.0002030734         0.0001792777
27000        11.6862976280        12.1184679683         9.7440179665        33.5487835628         0.0002070913         0.0001781517
28000        12.4009122570        13.1465513190         9.5541661343        35.1016297103         0.0002089383         0.0001782332
29000        12.3855829015        12.4123494301         9.6522914866        34.4502238182         0.0001979898         0.0001770393
30000        12.9506019109        12.4874443365        11.4393438957        36.8773901431         0.0002048744         0.0001758827
31000        12.7354279082        12.6322474578        11.4607607415        36.8284361074         0.0001980023         0.0001759216
32000        13.2855738700        13.6230726519        11.2542822828        38.1629288048         0.0001987653         0.0001749403
