# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.9764505444         3.0915769895         3.1603105572         9.2283380910         0.0015380563         0.0016420436
2000         5.8618854040         5.1925447720         5.6449537570        16.6993839330         0.0013916153         0.0014954928
3000         7.6194018745         8.1212428399         6.2795294350        22.0201741494         0.0012233430         0.0012722182
4000         9.6161641705         9.0155897008         9.7435795243        28.3753333956         0.0011823056         0.0011766365
5000        10.7337666197         7.5737327644        12.7557190530        31.0632184371         0.0010354406         0.0010431830
6000        12.2366779732        11.1716821311        13.5658701543        36.9742302586         0.0010270620         0.0009841717
7000        14.1933872334        13.3710287966        15.2851146378        42.8495306678         0.0010202269         0.0009496723
8000        14.9254939455        15.6472317938        17.1204215434        47.6931472826         0.0009936072         0.0009389861
9000        14.3328234116        14.0348471015        18.2002708768        46.5679413898         0.0008623693         0.0008775292
10000        15.2952141912        17.2032247038        19.4274694248        51.9259083198         0.0008654318         0.0008240181
11000        16.4955580914        20.4285511482        23.0449776841        59.9690869237         0.0009086225         0.0008137302
12000        16.3003940245        17.7757115199        25.1732865163        59.2493920607         0.0008229082         0.0007968958
13000        16.4912862034        21.2607981570        28.1547190182        65.9068033786         0.0008449590         0.0007743526
14000        15.6124426139        24.0527893546        31.0509820220        70.7162139904         0.0008418597         0.0007682248
15000        15.4721259828        22.7711551237        32.2073807339        70.4506618404         0.0007827851         0.0007536008
16000        18.7053260837        22.5245582771        32.0349936152        73.2648779760         0.0007631758         0.0007332773
17000        20.9897281503        22.4309585649        30.2393073259        73.6599940411         0.0007221568         0.0007068019
18000        22.1876835778        23.9026514195        30.3016836441        76.3920186413         0.0007073335         0.0006827804
19000        20.5532468659        25.1135747668        26.5171677944        72.1839894271         0.0006331929         0.0006515468
20000        21.7578966289        27.6239068584        25.6839775968        75.0657810841         0.0006255482         0.0006188624
21000        24.3848078140        28.8898495504        26.9785351697        80.2531925342         0.0006369301         0.0005941425
22000        24.6513869042        29.3137783733        25.3449988331        79.3101641107         0.0006008346         0.0005732054
23000        26.4544915541        30.5364091023        28.1501693293        85.1410699857         0.0006169643         0.0005560841
24000        29.5665500258        32.1697615989        29.8354599469        91.5717715716         0.0006359151         0.0005473842
25000        33.2131923786        33.7795621994        28.0618644403        95.0546190183         0.0006336975         0.0005437292
26000        31.0541834916        34.0908095642        30.6058290531        95.7508221089         0.0006137873         0.0005383418
27000        28.4886993969        38.9972212189        33.0329472967       100.5188679125         0.0006204868         0.0005334272
28000        29.8183434396        40.2008007984        35.3968483154       105.4159925533         0.0006274761         0.0005321360
29000        32.6742047112        39.4740739864        36.2157958912       108.3640745888         0.0006227820         0.0005307928
30000        37.8587608953        40.3659788932        33.8497182778       112.0744580664         0.0006226359         0.0005322903
31000        37.1385392470        46.8419419991        32.4530257060       116.4335069521         0.0006259866         0.0005329637
32000        33.6871817322        47.9234778985        31.6870562463       113.2977158770         0.0005900923         0.0005320223
33000        31.0475798889        45.6551934281        32.1003328373       108.8031061543         0.0005495106         0.0005222467
34000        36.4650486980        45.6161885054        35.2329318284       117.3141690318         0.0005750695         0.0005156435
35000        39.8952329852        43.7283379450        37.6363968651       121.2599677953         0.0005774284         0.0005121536
36000        41.2996427692        43.8611114283        37.7891738547       122.9499280522         0.0005692126         0.0005086663
37000        40.0721196281        40.4268820179        43.2324032230       123.7314048690         0.0005573487         0.0005040465
38000        42.9757829367        40.6330637368        46.2373590252       129.8462056987         0.0005695009         0.0005012784
39000        42.7953566663        40.6017100995        47.6793653647       131.0764321305         0.0005601557         0.0004991760
40000        41.6709639169        39.8764305987        48.2259401596       129.7733346752         0.0005407222         0.0004946538
41000        45.1640814210        40.5009483162        49.2603125550       134.9253422923         0.0005484770         0.0004908609
42000        50.0845640554        44.1977939568        51.5669325507       145.8492905628         0.0005787670         0.0004902714
43000        53.2961430675        49.8271019102        57.9127880824       161.0360330602         0.0006241707         0.0004948370
44000        52.9687401735        55.8254530186        65.9870013008       174.7811944929         0.0006620500         0.0005047671
45000        50.0068366535        57.5820807118        69.1178244502       176.7067418155         0.0006544694         0.0005156481
46000        49.2937702551        58.0096107602        72.2462239390       179.5496049542         0.0006505420         0.0005251717
47000        51.1886170475        65.2743681762        74.2484934398       190.7114786635         0.0006762818         0.0005358502
48000        51.3710969723        62.9646361343        75.6548230052       189.9905561118         0.0006596894         0.0005455163
49000        51.5883758593        62.2702132930        69.5839317870       183.4425209393         0.0006239542         0.0005503179
50000        55.5311580089        57.9196531144        74.3253577613       187.7761688846         0.0006259206         0.0005533672
51000        56.5436681478        62.1454220140        75.3526803449       194.0417705068         0.0006341234         0.0005572256
52000        57.1919563148        64.6022238198        75.2832216278       197.0774017624         0.0006316583         0.0005611599
53000        55.0803985101        62.4808387831        80.6441511800       198.2053884732         0.0006232874         0.0005632249
54000        59.7959579914        65.1383746062        83.1697770327       208.1041096303         0.0006422966         0.0005664248
55000        62.9493673128        68.0501952978        84.5410822461       215.5406448567         0.0006531535         0.0005710564
56000        61.8374847550        72.2868956864        86.3066902789       220.4310707204         0.0006560449         0.0005757351
57000        68.1198115307        72.3454389861        89.9224932274       230.3877437442         0.0006736484         0.0005814227
58000        69.5084341372        73.3994764823        87.2055669065       230.1134775260         0.0006612456         0.0005872484
59000        65.9810092514        72.1298812022        85.5406387915       223.6515292450         0.0006317840         0.0005902986
60000        64.4815912813        73.7039438632        85.8522412321       224.0377763766         0.0006223272         0.0005909353
61000        65.3002722881        76.2093762872        85.5304360516       227.0400846270         0.0006203281         0.0005909276
62000        67.1737292876        80.5412928758        83.6853865360       231.4004086993         0.0006220441         0.0005915580
63000        72.3612259904        81.3687526991        87.0962073530       240.8261860424         0.0006371063         0.0005926791
64000        67.0942798384        84.8856742855        84.6462668552       236.6262209791         0.0006162141         0.0005937379
65000        68.2688084124        87.9211278849        85.2641600231       241.4540963204         0.0006191131         0.0005934920
66000        71.2131531766        90.8039603502        84.9796297461       246.9967432729         0.0006237291         0.0005941324
67000        76.5926881043        95.3067489249        92.6243504016       264.5237874308         0.0006580194         0.0005962605
68000        78.4860661871        92.5964210818        88.0502952384       259.1327825074         0.0006351294         0.0005990692
69000        75.2563262337        92.9793588967        92.4806400748       260.7163252052         0.0006297496         0.0006000313
70000        76.3490258965        94.4277034393        92.6641147840       263.4408441198         0.0006272401         0.0006006622
71000        77.1723774575        93.4080255722        93.1365916244       263.7169946541         0.0006190540         0.0006010469
72000        75.5306972778        90.0393936799        94.0747906857       259.6448816433         0.0006010298         0.0006000621
73000        80.1288853721        90.1800442323        96.5052817836       266.8142113880         0.0006091649         0.0005990731
74000        86.2558775902        90.5404937586        98.7949373373       275.5913086860         0.0006207011         0.0005988446
75000        83.7407306167        90.9585237560        98.4219769091       273.1212312818         0.0006069361         0.0005987641
76000        81.1581893407        93.8530712781        95.5887111265       270.5999717453         0.0005934210         0.0005973459
77000        83.8301729785        94.4366611795        94.8754730131       273.1423071712         0.0005912171         0.0005957124
78000        87.4152879102        92.7622726662        95.5564619500       275.7340225264         0.0005891753         0.0005935888
79000        85.5865884515        99.0719717718        99.2574282301       283.9159884534         0.0005989789         0.0005923360
80000        83.9567284422        95.2150087743       101.2213993526       280.3931365691         0.0005841524         0.0005910388
81000        81.1621928942        94.0205405848       104.7996843404       279.9824178194         0.0005760955         0.0005887375
82000        82.3896048292        95.4203123371       107.5076890170       285.3176061833         0.0005799138         0.0005864686
83000        87.8227400872       100.2769416934       109.9233746624       298.0230564431         0.0005984399         0.0005849536
84000        86.1191399292        97.3377780448       110.9526581183       294.4095760923         0.0005841460         0.0005838067
85000        83.9309540775        94.6880009038       107.7759773907       286.3949323720         0.0005615587         0.0005814876
86000        78.2912441942        98.7033131291       109.6228096661       286.6173669894         0.0005554600         0.0005780389
87000        83.9863644936        95.6630413163       114.9144714865       294.5638772963         0.0005642986         0.0005751331
88000        90.3559613344        89.9307147918       119.9754784955       300.2621546218         0.0005686783         0.0005730624
89000        86.0119078335        90.6315747401       122.0670343087       298.7105168822         0.0005593830         0.0005709506
90000        80.5519925986        88.1295059453       122.0636033706       290.7451019145         0.0005384169         0.0005679129
91000        78.5677436797        88.7351388433       119.7074176944       287.0103002174         0.0005256599         0.0005639156
92000        81.0394828986        95.1649644477       130.2975963344       306.5020436806         0.0005552573         0.0005606603
93000        82.2796099287        98.5270656199       129.3019740963       310.1086496449         0.0005557503         0.0005587283
94000        85.1864383477        97.6316036256       131.9396144284       314.7576564017         0.0005580810         0.0005570681
95000        82.2918737899        88.5275629520       125.0388621909       295.8582989329         0.0005190496         0.0005542007
96000        83.7179864273        88.7201353755       126.4301983440       298.8683201468         0.0005188686         0.0005503087
97000        85.0841334848        83.1238340168       127.1597518420       295.3677193435         0.0005075047         0.0005463436
98000        93.1800466545        86.3171817960       126.3119067457       305.8091351961         0.0005200836         0.0005426079
99000        96.0432414219        96.3038686052       123.0638370920       315.4109471191         0.0005309949         0.0005397061
100000        99.7673221077       101.0840767136       121.5097742807       322.3611731020         0.0005372686         0.0005376313
101000        98.7592427252       103.5537003237       121.7196340284       324.0325770773         0.0005347072         0.0005357315
102000       100.2824606407       103.4792481195       122.5834332576       326.3451420178         0.0005332437         0.0005337608
103000       108.3169306220       101.3218787941       125.8872940326       335.5261034487         0.0005429225         0.0005322298
104000       112.9802697172       103.2265642261       123.4602422822       339.6670762255         0.0005443383         0.0005307310
105000       111.8223055834       103.1271575681       131.0598410234       346.0093041749         0.0005492211         0.0005298649
106000       112.3817804721       102.2746041327       138.1162023758       352.7725869806         0.0005546739         0.0005294712
107000       111.8635822207        96.2090947148       137.6936543673       345.7663313028         0.0005385768         0.0005286063
108000       112.7026519020        97.4348412661       136.7929212071       346.9304143751         0.0005353864         0.0005271762
109000       114.5056110526       103.1821069869       132.1430191586       349.8307371980         0.0005349094         0.0005256866
110000       123.0822868059       105.6063557704       142.6215930909       371.3102356672         0.0005625913         0.0005250430
111000       124.2622278204       112.8522423268       149.9592028333       387.0736729804         0.0005811917         0.0005259802
112000       122.0498370512       112.1134263689       151.6179724028       385.7812358229         0.0005740792         0.0005268404
113000       124.6524398822       121.1512826062       144.9025780821       390.7063005704         0.0005762630         0.0005274798
114000       128.2732836465       126.8080802877       142.7239181066       397.8052820408         0.0005815867         0.0005287468
115000       131.8393801558       130.3519761121       138.2593207563       400.4506770242         0.0005803633         0.0005297701
116000       126.9632264829       130.5100976266       138.0343050418       395.5076291513         0.0005682581         0.0005306078
117000       127.1113759804       130.0524191737       138.3973503911       395.5611455452         0.0005634774         0.0005306443
118000       128.4436081419       135.3926388258       146.3403146617       410.1765616294         0.0005793454         0.0005313861
119000       129.0782381888       138.3146712100       144.9925103063       412.3854197051         0.0005775706         0.0005322883
120000       128.3276062111       137.4349390123       156.1659929310       421.9285381544         0.0005860119         0.0005334024
121000       129.3507827941       138.3592895472       157.8047024617       425.5147748029         0.0005861085         0.0005345021
122000       132.3681181250       132.7408059573       154.3199837205       419.4289078027         0.0005729903         0.0005351905
123000       138.2164753167       128.4541117349       152.0963666728       418.7669537245         0.0005674349         0.0005356351
124000       132.9184906417       127.1536310869       144.0123237808       404.0844455095         0.0005431243         0.0005352930
125000       134.0645746908       125.8363567426       135.5746842495       395.4756156829         0.0005273008         0.0005340571
126000       136.9910126426       129.3129325774       139.9147107957       406.2186560158         0.0005373263         0.0005327982
127000       136.8914265813       136.9512106641       136.5313316763       410.3739689216         0.0005385485         0.0005317634
128000       138.7600347274       138.3253091904       137.3819145496       414.4672584673         0.0005396709         0.0005307932
129000       140.8168808412       144.7181451869       130.4126349523       415.9476609804         0.0005374001         0.0005297796
130000       148.0969439342       140.7016356180       130.1673081254       418.9658876776         0.0005371358         0.0005290447
131000       150.2876663742       142.4079788061       130.5987492021       423.2943943824         0.0005385425         0.0005282899
132000       151.1761079661       145.1779988146       138.5863573740       434.9404641547         0.0005491673         0.0005279128
133000       153.9326951216       161.0364628680       140.9830161815       455.9521741710         0.0005713686         0.0005281644
134000       150.6636036714       166.1447439969       139.5077413766       456.3160890450         0.0005675573         0.0005287820
135000       150.5779585908       162.5626667922       144.1534023499       457.2940277329         0.0005645605         0.0005292301
136000       145.7145429974       156.8110387230       147.5785142850       450.1040960054         0.0005515982         0.0005294180
137000       141.4403782554       158.7301836067       146.9178682522       447.0884301144         0.0005439032         0.0005291141
138000       142.6100287933       156.1765021872       143.9451802621       442.7317112426         0.0005347001         0.0005284667
139000       146.7241429551       160.9924675514       141.8893723120       449.6059828186         0.0005390959         0.0005277800
140000       153.2146659219       159.9011700994       141.9453302187       455.0611662400         0.0005417395         0.0005270430
141000       148.7896751274       157.5709454176       151.5498192390       457.9104397841         0.0005412653         0.0005266496
142000       150.2482655139       158.5986465166       155.6756480091       464.5225600395         0.0005452143         0.0005261876
143000       153.1395319103       158.0472780045       148.8522320062       460.0390419210         0.0005361760         0.0005259174
144000       153.1474922309       160.8786386433       149.9267396787       463.9528705529         0.0005369825         0.0005252769
145000       158.9641205186       162.5491163412       154.8526733492       476.3659102090         0.0005475470         0.0005248576
146000       161.7780083469       167.0918738017       158.0748476148       486.9447297633         0.0005558730         0.0005249791
147000       151.4917217079       172.9259802180       156.5115898696       480.9292917954         0.0005452713         0.0005249949
148000       143.7813479029       173.9349781992       150.0629182063       467.7792443083         0.0005267784         0.0005243223
149000       139.8503430385       173.4330174338       155.7110002091       468.9943606813         0.0005246022         0.0005233311
150000       142.2466541054       172.2490859140       155.7850085535       470.2807485728         0.0005225342         0.0005224391
151000       140.6438106003       179.9654990459       152.4854661874       473.0947758336         0.0005221797         0.0005214218
152000       138.4733171025       175.8829807664       151.3656933473       465.7219912162         0.0005106601         0.0005201751
153000       141.8554908367       176.7498233256       153.1811571967       471.7864713590         0.0005139286         0.0005189025
154000       148.4548335693       174.8746615561       156.5481442187       479.8776393440         0.0005193481         0.0005177423
155000       152.3906447185       175.4416894949       162.9593055804       490.7916397938         0.0005277329         0.0005170597
156000       147.6666843784       174.1091673382       170.1546727436       491.9305244602         0.0005255668         0.0005164978
157000       147.9933965912       170.6796736128       163.4648929695       482.1379631734         0.0005118237         0.0005156032
158000       147.0875506862       169.9282192771       173.3134472005       490.3292171638         0.0005172249         0.0005145127
159000       154.0283788752       167.9606471451       167.4875221733       489.4765481937         0.0005130781         0.0005135633
160000       154.0930540824       168.8765592283       161.5970859550       484.5666992657         0.0005047570         0.0005122670
161000       156.6068968836       170.1277187066       165.9567317979       492.6913473881         0.0005100325         0.0005111938
162000       161.4815119975       170.9938235940       166.4126443002       498.8879798916         0.0005132592         0.0005102439
163000       166.1971150059       176.7824058022       170.1188417075       513.0983625156         0.0005246405         0.0005094761
164000       168.9087293394       177.1283371502       171.6757282843       517.7127947739         0.0005261309         0.0005089269
165000       171.9751104493       178.8905735935       170.4228427012       521.2885267440         0.0005265541         0.0005087592
166000       178.2100166977       169.5534069598       172.9138018694       520.6772255269         0.0005227683         0.0005083029
167000       175.4543496996       171.4024337849       173.1153136150       519.9720970996         0.0005189342         0.0005077444
168000       173.8872560164       165.9541132856       169.4768474154       509.3182167174         0.0005052760         0.0005069463
169000       178.7035070946       159.3903042152       171.4319768540       509.5257881637         0.0005024909         0.0005058158
170000       172.7474117470       163.2393959317       169.1223908609       505.1091985395         0.0004952051         0.0005046006
171000       181.0035378913       167.9174390579       173.4419072443       522.3628841936         0.0005091256         0.0005034661
172000       184.6618647090       178.1434183570       174.4995520397       537.3048351057         0.0005206442         0.0005029262
173000       180.5915891252       175.9476046127       177.1812171590       533.7204108970         0.0005141815         0.0005025034
174000       173.1928623454       179.2850179632       177.1547079674       529.6325882761         0.0005073109         0.0005018048
175000       166.2440548748       170.4680754544       174.9677606617       511.6798909909         0.0004873142         0.0005006704
176000       166.6004073622       161.1247768395       177.7690849047       505.4942691065         0.0004786878         0.0004991430
177000       167.6992744549       162.8399255034       179.5966211510       510.1358211092         0.0004803539         0.0004974499
178000       171.2416689737       160.0800418359       180.1790965224       511.5008073319         0.0004789333         0.0004958850
179000       170.8614446264       162.2171055069       180.0262406264       513.1047907597         0.0004777512         0.0004942933
180000       169.4174808407       162.2270422806       172.0971987568       503.7417218781         0.0004664275         0.0004925153
181000       169.6850078922       165.0617988166       169.4801339325       504.2269406413         0.0004642974         0.0004905588
182000       171.8698852801       170.6983120554       164.9063489571       507.4745462926         0.0004647203         0.0004887017
183000       176.8802624645       163.5543193278       167.1905110148       507.6250928070         0.0004623179         0.0004869523
184000       168.2742127369       165.5508413967       166.6077820782       500.4328362118         0.0004532906         0.0004849768
185000       175.0880222447       166.4507326272       170.8040371122       512.3427919841         0.0004615701         0.0004830707
186000       174.7547424714       162.2354229489       177.1644030236       514.1545684440         0.0004607120         0.0004813681
187000       165.8092694942       161.1177147571       176.0312351865       502.9582194378         0.0004482694         0.0004794120
188000       165.2722770243       161.4814409086       172.6810471308       499.4347650636         0.0004427613         0.0004772599
189000       159.8889293615       161.4408029237       173.6990491747       495.0287814598         0.0004365333         0.0004749230
190000       164.2819657587       163.6414639397       179.6195054990       507.5429351974         0.0004452131         0.0004727735
191000       168.0319872818       166.6095130309       190.8216238401       525.4631241528         0.0004585193         0.0004710203
192000       175.3079775868       180.5052480890       193.6015999295       549.4148256054         0.0004769226         0.0004698483
193000       173.2215282524       176.4424690222       190.8910033840       540.5550006586         0.0004668005         0.0004688191
194000       173.4347237560       175.2106146219       190.4667371907       539.1120755687         0.0004631547         0.0004675649
195000       179.1172368991       175.8862464124       190.9126222471       545.9161055586         0.0004665950         0.0004663433
196000       179.7630672506       172.6528204773       188.1214096296       540.5372973575         0.0004596406         0.0004651071
197000       173.7896119480       173.5657273580       178.7324185770       526.0877578830         0.0004450827         0.0004636575
198000       168.4608506217       173.3331334861       162.9011369308       504.6951210387         0.0004248275         0.0004616894
199000       169.1153890588       170.3825526794       166.2443336970       505.7422754352         0.0004235697         0.0004593880
200000       173.6630281351       168.9719281876       163.7027123799       506.3376687025         0.0004219481         0.0004571932
201000       178.6137246026       162.5941882056       164.1256620829       505.3335748912         0.0004190162         0.0004548852
202000       176.6945247218       168.4783944980       165.9467466610       511.1196658808         0.0004217159         0.0004527040
203000       177.9590726205       173.6321999398       161.5664142518       513.1576868121         0.0004213117         0.0004507014
204000       176.2648903702       176.4090576683       161.4557450240       514.1296930624         0.0004200406         0.0004486488
205000       173.5576270039       184.9441553523       169.7217561358       528.2235384919         0.0004294500         0.0004467821
206000       164.7645393201       191.2598027663       168.2332490967       524.2575911830         0.0004241566         0.0004450424
207000       161.4055298973       187.8440878807       165.2558256091       514.5054433872         0.0004142556         0.0004431586
208000       164.3993974361       196.7134379255       163.2202349369       524.3330702986         0.0004201387         0.0004411732
209000       169.5633804142       192.1150697618       162.3198143035       523.9982644794         0.0004178615         0.0004393604
210000       175.9313490034       183.1861844353       158.2504005527       517.3679339914         0.0004106095         0.0004374158
211000       170.3581000530       187.5500769416       153.6348346516       511.5430116462         0.0004040624         0.0004354033
212000       177.7144119724       173.1223551647       154.0718417365       504.9086088736         0.0003969407         0.0004332027
213000       177.5209633389       169.5783002538       152.0546909482       499.1539545409         0.0003905743         0.0004308670
214000       176.2401949470       170.9735947756       155.1145624992       502.3283522217         0.0003912215         0.0004285260
215000       184.5710011969       180.9132622919       156.5885131060       522.0727765948         0.0004047076         0.0004264156
216000       182.0393462439       192.1673228565       159.3461247767       533.5527938772         0.0004116920         0.0004245902
217000       190.4804431317       192.9821655970       164.8934846913       548.3560934199         0.0004211644         0.0004231247
218000       186.9250478144       204.1068433357       158.9702088944       550.0021000445         0.0004204909         0.0004218860
219000       185.8381105145       200.2819136671       166.2537139335       552.3737381150         0.0004203758         0.0004205648
220000       186.2766934823       209.3005087165       164.9678037584       560.5450059572         0.0004246553         0.0004193602
221000       186.0589143624       205.9055148139       172.0526148599       564.0170440361         0.0004253522         0.0004181854
222000       188.6542618817       210.0034479005       171.4964851975       570.1541949797         0.0004280437         0.0004170844
223000       194.0214710196       213.8946172254       167.8456433381       575.7617315831         0.0004303152         0.0004161939
224000       189.8731606817       218.1860424120       172.0355254663       580.0947285601         0.0004316181         0.0004153093
225000       189.9045482515       222.3157759551       168.3400273834       580.5603515901         0.0004300447         0.0004144473
226000       196.3859760311       236.5172525289       171.8136318133       604.7168603734         0.0004459564         0.0004137813
227000       188.7323616751       236.0666076067       171.2816891942       596.0806584760         0.0004376510         0.0004133069
228000       186.3529358535       229.2882531298       170.0025602096       585.6437491929         0.0004281022         0.0004124729
229000       177.0648129187       222.7368520424       170.5737811749       570.3754461361         0.0004151204         0.0004114378
230000       183.1540788991       224.2672721020       166.5662427954       573.9875937965         0.0004159330         0.0004103353
231000       179.4041408533       228.7676804839       174.5921278094       582.7639491465         0.0004204646         0.0004092299
232000       181.1372192680       225.1045694031       179.0667799538       585.3085686249         0.0004204803         0.0004083124
233000       180.2134017261       227.8658554091       183.0492662120       591.1285233472         0.0004228387         0.0004074097
234000       180.7742377747       221.2456029867       187.4829306781       589.5027714395         0.0004198738         0.0004065178
235000       181.6099804907       214.4403603404       184.7844962145       580.8348370456         0.0004119396         0.0004055570
236000       184.0514386686       231.2530920915       184.3737340033       599.6782647634         0.0004235016         0.0004046412
237000       180.3613110580       230.2290828792       181.5574018688       592.1477958059         0.0004164190         0.0004038111
238000       179.9885329252       219.7801415302       181.3291373078       581.0978117633         0.0004069312         0.0004027419
239000       178.4798320999       220.5991610523       176.5616231143       575.6406162666         0.0004014230         0.0004015561
240000       177.6271459137       219.8946304645       177.3260641496       574.8478405278         0.0003991999         0.0004002650
241000       179.7796610453       222.0006875690       178.8293719423       580.6097205567         0.0004015282         0.0003990574
242000       177.1394416416       227.1287836038       175.6505672722       579.9187925176         0.0003993931         0.0003978785
243000       175.6321368269       230.6425691771       175.2679284050       581.5426344090         0.0003988633         0.0003966461
244000       175.4700002191       222.1752831399       183.1453524079       580.7906357669         0.0003967149         0.0003954078
245000       176.5193852963       235.4441671063       191.7112162972       603.6747686998         0.0004106631         0.0003943462
246000       174.7178658659       236.8519365580       186.2197085678       597.7895109918         0.0004050064         0.0003934705
247000       175.7487663163       245.4751628106       186.2624472369       607.4863763638         0.0004099098         0.0003925303
248000       180.3105206467       245.8006791097       188.9317221050       615.0429218614         0.0004133353         0.0003917650
249000       184.0506170247       246.1999690036       191.4919698096       621.7425558378         0.0004161597         0.0003911061
250000       182.6835197963       256.7021129603       187.3075739578       626.6932067145         0.0004177955         0.0003905304
251000       188.8400542761       268.8663549338       186.3893029855       644.0957121955         0.0004276864         0.0003901151
