# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         0.9724364390         0.8713894368         1.0001031458         2.8439290215         0.0004739882         0.0005009532
2000         1.5264890735         1.7364305158         1.9070902197         5.1700098090         0.0004308342         0.0004129557
3000         1.8823746250         2.0977971969         1.9985405450         5.9787123669         0.0003321507         0.0003268401
4000         2.2580064193         2.9230424437         2.4510781674         7.6321270304         0.0003180053         0.0002756127
5000         2.7092787494         3.5951129473         3.0331570350         9.3375487317         0.0003112516         0.0002756546
6000         2.9227120228         3.7940324641         3.4472627985        10.1640072855         0.0002823335         0.0002647980
7000         3.3972003883         3.9937559813         3.3915708293        10.7825271989         0.0002567268         0.0002401233
8000         4.2886903052         4.2612381216         3.4080596816        11.9579881084         0.0002491248         0.0002271718
9000         3.9352113086         5.0543355670         3.3466985796        12.3362454552         0.0002284490         0.0002130316
10000         3.8355409444         4.9580011731         3.5465372405        12.3400793579         0.0002056680         0.0001969416
11000         4.6178453809         5.5107487784         3.5256280681        13.6542222274         0.0002068822         0.0001826938
12000         4.6220135765         5.3634381875         4.0018782203        13.9873299842         0.0001942685         0.0001739586
13000         5.3744627305         5.7180441297         4.3530927913        15.4455996515         0.0001980205         0.0001655244
14000         5.7966348813         6.3893734763         4.6009533949        16.7869617526         0.0001998448         0.0001615238
15000         5.2771065436         6.4659255442         4.8752908335        16.6183229214         0.0001846480         0.0001586842
16000         5.6878623305         6.5804151215         5.4730334994        17.7413109514         0.0001848053         0.0001558287
17000         5.8685918068         6.5749337903         5.7298196907        18.1733452879         0.0001781701         0.0001541086
18000         5.7481965079         7.1045172974         7.3228938887        20.1756076940         0.0001868112         0.0001523071
19000         5.8846588846         6.7529848261         7.4192995990        20.0569433097         0.0001759381         0.0001517006
20000         6.1583123916         7.6733909323         8.0600340136        21.8917373375         0.0001824311         0.0001512176
21000         7.2730455073         7.8962547728         8.9597254014        24.1290256815         0.0001915002         0.0001537001
22000         6.8594717364         7.2613033393         8.2512667270        22.3720418027         0.0001694852         0.0001545282
23000         6.8369709750         7.3183219327         8.1637223916        22.3190152993         0.0001617320         0.0001504277
24000         6.8514013806         8.5534584389         7.9360608774        23.3409206969         0.0001620897         0.0001482725
25000         6.9720466212         7.2236868553         9.0104304712        23.2061639478         0.0001547078         0.0001444853
26000         7.3972086120         7.2974276266         8.5996230605        23.2942592991         0.0001493222         0.0001408479
27000         7.8887501398         7.2838896787         8.9456907105        24.1183305290         0.0001488786         0.0001371497
28000         8.1944404056         8.1939155180         7.8786842337        24.2670401572         0.0001444467         0.0001336965
29000         8.2244137864         8.1379061881         8.3315370385        24.6938570130         0.0001419187         0.0001306049
30000         8.4782073954         7.5522509547         9.3202512007        25.3507095508         0.0001408373         0.0001274938
31000         8.5941209598         8.1088275225         9.9373163886        26.6402648710         0.0001432272         0.0001253752
32000         8.5499391841         8.7998811049        10.0856960067        27.4355162957         0.0001428933         0.0001241712
33000         8.7262382238         9.5414265889        10.0682676364        28.3359324490         0.0001431108         0.0001228009
34000         8.7246931455        10.4327391451        10.2292736537        29.3867059442         0.0001440525         0.0001220716
35000         9.1000543214        10.2527271188        10.8534370054        30.2062184457         0.0001438391         0.0001217878
36000         9.7588424728        10.0636872353        10.6870563200        30.5095860280         0.0001412481         0.0001209375
37000        10.3643894492        10.7209511735        11.0367257368        32.1220663596         0.0001446940         0.0001204955
38000        10.5101383963        11.6743676683        11.4815349892        33.6660410538         0.0001476581         0.0001204858
39000        11.4985291204        12.3270809403        12.2960226335        36.1216326942         0.0001543660         0.0001218287
40000        11.5368775100        13.0737375459        12.1953089258        36.8059239816         0.0001533580         0.0001235335
41000        11.8766580853        13.7676986950        13.8007107192        39.4450674995         0.0001603458         0.0001254592
42000        12.2053109009        13.9066815939        13.6941625340        39.8061550288         0.0001579609         0.0001277899
43000        12.2779460748        13.3563952647        13.1491952720        38.7835366115         0.0001503238         0.0001289303
44000        13.1422933479        14.2765101913        12.7653399266        40.1841434657         0.0001522127         0.0001295801
45000        13.6763158231        14.2944317188        13.5567788678        41.5275264097         0.0001538057         0.0001303143
46000        13.9992776446        15.1299155721        14.3061740333        43.4353672499         0.0001573745         0.0001315578
47000        13.5783722433        15.3730607881        14.4242263481        43.3756593794         0.0001538144         0.0001325377
48000        13.5722841446        15.3340289052        14.7249481799        43.6312612297         0.0001514974         0.0001330318
49000        14.2706434927        15.5928146753        13.8101496177        43.6736077857         0.0001485497         0.0001334333
50000        14.8589171648        14.3892369307        14.3971378709        43.6452919664         0.0001454843         0.0001332630
51000        14.3036828517        15.4502156206        13.8613038040        43.6152022764         0.0001425333         0.0001329924
52000        14.0831905132        15.3064465536        13.6740893793        43.0637264461         0.0001380248         0.0001320229
53000        14.8751985130        16.4318810061        12.4390762519        43.7461557710         0.0001375665         0.0001311146
54000        14.5028500898        16.5439962547        13.0119398597        44.0587862043         0.0001359839         0.0001303301
55000        13.9821127162        17.0680736078        13.6999159119        44.7501022358         0.0001356064         0.0001294987
56000        14.3651803171        16.5156647569        13.0377847520        43.9186298260         0.0001307102         0.0001283662
57000        14.9561186762        16.3384569205        13.4242911188        44.7188667155         0.0001307569         0.0001271850
58000        15.6876255914        17.0350090509        13.1342332954        45.8568679377         0.0001317726         0.0001263641
59000        14.6431671302        17.8685807890        13.4528506618        45.9645985810         0.0001298435         0.0001253702
60000        15.1087687960        18.9886127929        13.5934156050        47.6907971939         0.0001324744         0.0001245526
61000        14.7250794769        18.5206814275        13.9322243704        47.1779852748         0.0001289016         0.0001238061
62000        14.3454985974        17.8279754340        13.9354207033        46.1088947346         0.0001239486         0.0001228150
63000        15.1504767929        18.2746859206        13.7754812361        47.2006439496         0.0001248694         0.0001216336
64000        15.3700111497        19.0896724076        14.2159259679        48.6756095252         0.0001267594         0.0001206129
65000        16.0163849109        20.4729899284        14.9183602638        51.4077351031         0.0001318147         0.0001201266
66000        16.6886906520        21.3970344324        14.7718394292        52.8575645136         0.0001334787         0.0001200163
67000        16.1092175088        20.1726823550        14.5681680740        50.8500679378         0.0001264927         0.0001195737
68000        16.9468818646        19.0061884001        14.5077279174        50.4607981821         0.0001236784         0.0001189119
69000        16.8754448288        19.4647490993        15.0452527396        51.3854466677         0.0001241194         0.0001179269
70000        17.1868636876        19.9999555707        15.2596263222        52.4464455805         0.0001248725         0.0001173184
71000        17.0430697485        20.0432111553        15.6619059515        52.7481868553         0.0001238220         0.0001166421
72000        17.5666419401        20.6400722158        16.9014655381        55.1081796940         0.0001275652         0.0001161889
73000        17.4238363283        20.7096044585        16.5211229162        54.6545637030         0.0001247821         0.0001159108
74000        17.0271487737        21.3111714597        16.7070102088        55.0453304422         0.0001239760         0.0001153697
75000        18.0551575418        21.8351533929        16.0974893265        55.9878002611         0.0001244173         0.0001150248
76000        17.7022591523        22.7349136305        15.9802354833        56.4174082660         0.0001237224         0.0001146470
77000        17.9784448155        25.2432750704        17.0257386014        60.2474584873         0.0001304058         0.0001144891
78000        19.0596676529        25.3851511725        16.8917124408        61.3365312662         0.0001310610         0.0001146553
79000        18.7504059255        25.0070315459        17.4459798583        61.2034173297         0.0001291211         0.0001147818
80000        19.5640402259        24.9904329001        18.4928375524        63.0473106784         0.0001313486         0.0001150011
81000        20.4651442382        24.9505874699        18.5654942156        63.9812259236         0.0001316486         0.0001151649
82000        21.2005108115        24.3039290186        18.9585797992        64.4630196293         0.0001310224         0.0001154194
83000        21.1482310092        24.8635097299        18.8384151843        64.8501559234         0.0001302212         0.0001156636
84000        21.2267538760        24.4969920866        19.3377590636        65.0615050262         0.0001290903         0.0001157720
85000        21.4271810868        25.3460174719        19.0255890565        65.7987876152         0.0001290172         0.0001158669
86000        21.2918279289        24.8095153339        18.8183723751        64.9197156379         0.0001258134         0.0001158386
87000        21.3498958590        25.0140319461        18.3535266695        64.7174544747         0.0001239798         0.0001156054
88000        21.8023889008        23.5413039502        18.7925603500        64.1362532011         0.0001214702         0.0001153432
89000        21.4545269562        24.3352441576        18.6908194968        64.4805906106         0.0001207502         0.0001148845
90000        22.6687241083        24.5563497214        19.7784046720        67.0034785017         0.0001240805         0.0001146825
91000        23.7325558577        25.1183523552        20.9714162160        69.8223244289         0.0001278797         0.0001146281
92000        23.9886289835        25.3354379856        21.5097611903        70.8338281595         0.0001283222         0.0001147086
93000        24.8623047953        25.4918275472        20.6286791146        70.9828114571         0.0001272093         0.0001147852
94000        24.4852552464        26.6673556884        22.0348268262        73.1874377610         0.0001297650         0.0001150080
95000        24.7942926107        27.3449867050        20.9764147223        73.1156940379         0.0001282731         0.0001151732
96000        26.4789471684        26.5290902055        21.8453953602        74.8534327341         0.0001299539         0.0001153403
97000        26.7407307484        25.5480245945        22.0615612140        74.3503165569         0.0001277497         0.0001154349
98000        26.9978591888        25.9085183561        22.5301890088        75.4365665538         0.0001282935         0.0001155520
99000        26.9986659427        27.6727935641        23.6743409796        78.3458004865         0.0001318953         0.0001158224
100000        25.3715459730        28.6276293079        23.3264075544        77.3255828353         0.0001288760         0.0001160749
101000        25.7644721502        29.0959916505        24.0377815671        78.8982453678         0.0001301951         0.0001163023
102000        26.6682335368        28.4812844709        25.3020462091        80.4515642168         0.0001314568         0.0001166171
103000        26.8268635321        29.0288053067        25.4471330884        81.3028019272         0.0001315579         0.0001168917
104000        28.3871576568        28.8028958661        27.4329522611        84.6230057840         0.0001356138         0.0001172985
105000        27.4694271041        29.3016702563        25.8434397151        82.6145370755         0.0001311342         0.0001177055
106000        28.1549672338        29.9024426203        25.2938007332        83.3512105873         0.0001310554         0.0001178515
107000        29.2236603910        29.7876414832        26.7904533532        85.8017552275         0.0001336476         0.0001181221
108000        30.3326495455        29.0823402519        26.1005561747        85.5155459721         0.0001319684         0.0001184474
109000        29.5737426095        28.6447415006        25.7296785154        83.9481626254         0.0001283611         0.0001186370
110000        27.0375154091        30.9326033470        25.8424081068        83.8125268628         0.0001269887         0.0001186674
111000        26.2625362549        30.5457959892        24.7716899687        81.5800222128         0.0001224925         0.0001185447
112000        28.0772684394        30.5446506953        25.3789110812        84.0008302159         0.0001250012         0.0001184049
113000        29.9551153380        30.3128970366        26.5121230715        86.7801354460         0.0001279943         0.0001183478
114000        29.3910604220        29.2420172837        26.9426218489        85.5756995546         0.0001251107         0.0001183569
115000        28.7714412230        29.0592539532        27.3985718380        85.2292670143         0.0001235207         0.0001181829
116000        28.6430881384        31.5706602411        27.3217438122        87.5354921917         0.0001257694         0.0001180934
117000        30.7718938600        30.4648105482        28.5208649125        89.7575693207         0.0001278598         0.0001181350
118000        30.0970099736        30.9106941125        29.7861010603        90.7938051464         0.0001282398         0.0001182075
119000        29.7473705657        31.9228279257        30.1674195603        91.8376180517         0.0001286241         0.0001183678
120000        29.5544249120        32.4882357700        29.8619478681        91.9046085501         0.0001276453         0.0001184863
121000        31.0856367680        31.9412332387        30.2470913975        93.2739614042         0.0001284765         0.0001185207
122000        31.4393156844        32.3249316680        30.4696638276        94.2339111800         0.0001287349         0.0001186102
123000        31.3586566509        30.8304995543        31.6415924864        93.8307486916         0.0001271419         0.0001187108
124000        33.1612030702        31.1211664392        31.2019378696        95.4843073789         0.0001283391         0.0001187983
125000        32.2076482044        31.7357383049        31.3633763746        95.3067628839         0.0001270757         0.0001188545
126000        32.1459999523        31.8206036671        31.0167847661        94.9833883856         0.0001256394         0.0001188667
127000        31.7296314594        32.1757441724        31.6720704389        95.5774460708         0.0001254297         0.0001188548
128000        32.1916054582        32.2895280051        32.4856860852        96.9668195485         0.0001262589         0.0001188720
129000        33.2622826408        31.7722680836        32.0495788336        97.0841295580         0.0001254317         0.0001188803
130000        34.8750539964        35.1333603235        32.1760769038       102.1844912236         0.0001310058         0.0001189856
131000        34.8862712594        35.3724433075        31.9755036318       102.2342181987         0.0001300690         0.0001192376
132000        33.9425206090        35.2540869677        32.7752082573       101.9718158340         0.0001287523         0.0001194138
133000        33.5528159455        34.1167634721        33.1156471580       100.7852265757         0.0001262973         0.0001194857
134000        31.7114569309        33.9605044632        31.1246483635        96.7966097576         0.0001203938         0.0001193360
135000        33.3798496051        35.1220581187        30.2511267773        98.7530345011         0.0001219173         0.0001190875
136000        35.1014947523        35.9593901595        32.5562724032       103.6171573150         0.0001269818         0.0001190439
137000        33.9161133968        34.6675765542        33.9397630376       102.5234529885         0.0001247244         0.0001190993
138000        34.3202145667        33.3835582746        33.7193454823       101.4231183235         0.0001224917         0.0001190127
139000        33.9381812613        34.1543703706        33.3185757905       101.4111274224         0.0001215961         0.0001188767
140000        34.2055848015        32.7039043727        34.0690511778       100.9785403520         0.0001202125         0.0001187011
141000        35.0160634365        33.4002490790        33.5500982103       101.9664107258         0.0001205277         0.0001184696
142000        33.4672351237        35.0107987847        33.2471788609       101.7252127692         0.0001193958         0.0001182819
143000        34.6228527361        35.3100972456        33.1360523631       103.0690023448         0.0001201270         0.0001180940
144000        34.7906185539        33.0237159311        33.5250962409       101.3394307259         0.0001172910         0.0001178561
145000        35.2728289902        33.5034286076        32.7697347175       101.5459923153         0.0001167195         0.0001175452
146000        35.8050941367        34.3920351143        34.2259562739       104.4230855250         0.0001192044         0.0001172439
147000        35.3292839824        34.5489361049        33.9570103202       103.8352304075         0.0001177270         0.0001170320
148000        34.5690490037        34.7027160816        32.8174156964       102.0891807817         0.0001149653         0.0001166910
149000        35.8545940291        35.9718221550        33.3191637968       105.1455799809         0.0001176125         0.0001163993
150000        35.4504183851        36.2170573808        32.7349210510       104.4023968169         0.0001160027         0.0001161697
151000        36.1249920897        34.9552427374        33.2574126595       104.3376474867         0.0001151630         0.0001158562
152000        36.4504670439        35.7408637559        32.6142915614       104.8056223613         0.0001149184         0.0001155350
153000        35.4522639269        37.3489945569        32.0297112423       104.8309697260         0.0001141950         0.0001152212
154000        34.2837425401        37.4428393534        31.2204532248       102.9470351183         0.0001114145         0.0001148622
155000        36.2767500024        36.7863333536        32.7285530044       105.7916363603         0.0001137544         0.0001144925
156000        35.3436289490        37.1411685220        32.7839363931       105.2687338641         0.0001124666         0.0001141792
157000        36.9488196276        37.7344101596        32.8273522724       107.5105820596         0.0001141301         0.0001138549
158000        36.2988495658        38.3057808552        32.8275988607       107.4322292817         0.0001133251         0.0001135551
159000        35.8557321670        39.1691066294        33.9044136683       108.9292524647         0.0001141816         0.0001132852
160000        36.4742700607        37.3733745203        34.8774949002       108.7251394812         0.0001132554         0.0001129912
161000        37.5663030397        35.8148016260        33.2869467626       106.6680514283         0.0001104224         0.0001126756
162000        37.4498954295        37.2388300268        34.5856008662       109.2743263225         0.0001124221         0.0001123341
163000        37.3915830870        37.4662509813        35.4438103322       110.3016444004         0.0001127829         0.0001120902
164000        38.4750813184        35.5773392174        36.1390165816       110.1914371174         0.0001119832         0.0001117953
165000        40.7054210738        35.6084876361        35.4293311284       111.7432398383         0.0001128720         0.0001115550
166000        41.4031371630        35.1064618706        36.0525054957       112.5621045293         0.0001130142         0.0001113518
167000        40.4106150335        36.8619440007        35.9585076710       113.2310667052         0.0001130051         0.0001111215
