# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         1.2175802279         1.2399229285         1.2224751106         3.6799782670         0.0006133297         0.0006314728
2000         2.2725088180         1.8137436218         2.2423737703         6.3286262102         0.0005273855         0.0005185533
3000         2.2097945579         2.0902541392         2.7326322043         7.0326809014         0.0003907045         0.0004137611
4000         2.2883239793         2.2943400274         2.6209659256         7.2036299322         0.0003001512         0.0002810586
5000         2.6399633025         2.7323897312         2.5607509215         7.9331039552         0.0002644368         0.0002224765
6000         2.8303088860         2.6629515393         2.7434272671         8.2366876923         0.0002287969         0.0001798508
7000         3.4847414556         3.3786499882         3.3519535467        10.2153449905         0.0002432225         0.0001724283
8000         3.8329039841         4.4440241225         3.8956655744        12.1725936810         0.0002535957         0.0001782681
9000         4.0619617095         4.3628830685         4.5579088195        12.9827535975         0.0002404214         0.0001863483
10000         4.3477888551         4.6795822556         4.8273828732        13.8547539839         0.0002309126         0.0001862364
11000         4.7870431349         5.1123634007         4.5552595281        14.4546660636         0.0002190101         0.0001847676
12000         5.1595746615         5.2721862440         4.9652799708        15.3970408762         0.0002138478         0.0001799872
13000         5.0626670492         5.2938306879         5.0244612990        15.3809590361         0.0001971918         0.0001750010
14000         5.5295098074         6.1258743079         5.1821758983        16.8375600135         0.0002004471         0.0001694518
15000         5.2129245798         6.7567358975         5.7304455536        17.7001060309         0.0001966678         0.0001672244
16000         5.2000972809         7.1526920896         6.5734143189        18.9262036894         0.0001971480         0.0001648978
17000         5.5550278564         7.1018973297         7.1419378516        19.7988630378         0.0001941065         0.0001646255
18000         5.5987387783         7.4720832977         6.8595625291        19.9303846051         0.0001845406         0.0001621710
19000         5.8941874012         7.5286059394         7.5083276509        20.9311209915         0.0001836063         0.0001593047
20000         6.4675401254         8.3025019244         7.3869268448        22.1569688945         0.0001846414         0.0001586490
21000         6.3020281513         8.2905596226         7.9004262062        22.4930139801         0.0001785160         0.0001576016
22000         6.0438620173         8.1513480192         8.0961716559        22.2913816924         0.0001688741         0.0001543071
23000         6.5576778651         9.1511366572         8.1695156283        23.8783301505         0.0001730314         0.0001520287
24000         6.7332494084         9.5996908189         8.8775918896        25.2105321169         0.0001750731         0.0001514024
25000         6.8636794265        10.3900507603         8.4847856915        25.7385158782         0.0001715901         0.0001508504
26000         6.6612767706        10.0300580160         8.9139447872        25.6052795738         0.0001641364         0.0001487831
27000         6.3973069360        10.3328849437         9.4574348448        26.1876267244         0.0001616520         0.0001465040
28000         7.1897541324        11.1535866789         9.9125645683        28.2559053796         0.0001681899         0.0001453250
29000         6.8700422739        11.2434396837         9.9834949190        28.0969768766         0.0001614769         0.0001441330
30000         7.2766480102        12.8306555314        10.1752467134        30.2825502551         0.0001682364         0.0001437338
31000         7.6112762802        13.5599970883         9.8169878778        30.9882612463         0.0001666036         0.0001436522
32000         8.0609776461        14.2616057662        10.8566769202        33.1792603324         0.0001728086         0.0001442570
33000         8.8560920011        14.5773029351        10.8550541878        34.2884491239         0.0001731740         0.0001454194
34000         8.9072989610        14.4503292336        11.5403275048        34.8979556994         0.0001710684         0.0001462432
35000         8.5357113252        14.8060324391        11.7425877765        35.0843315408         0.0001670682         0.0001469037
36000         9.4999084914        14.3677661546        11.9176972481        35.7853718940         0.0001656730         0.0001470415
37000        10.0787913419        14.9712150952        11.5449792712        36.5949857083         0.0001648423         0.0001469678
38000        10.2985054606        15.2088711370        12.0918839982        37.5992605959         0.0001649090         0.0001471950
39000        10.1729667858        15.6630793094        11.7536372833        37.5896833785         0.0001606397         0.0001470767
40000         9.6112532337        15.2613758705        12.2095047358        37.0821338400         0.0001545089         0.0001458879
41000        10.3978927622        15.2099279165        12.8882021925        38.4960228713         0.0001564879         0.0001449464
42000        10.4493873485        15.5618617122        14.1456878254        40.1569368861         0.0001593529         0.0001440686
43000        11.0801427024        15.7473264363        14.1988217487        41.0262908873         0.0001590166         0.0001437255
