,pressure[bar],average_amount,error_amount
0,0.025,47.16367265469062,6.420802463561589
38,0.05,74.37924151696606,6.570657588192399
10,0.075,90.19161676646706,6.196323162921669
27,0.1,105.39920159680639,6.782353479717035
17,0.125,114.96606786427145,6.9890737586162635
35,0.15,126.05788423153693,8.176608640313974
34,0.175,449.4750499001996,17.853413888457297
1,0.2,491.94411177644713,8.51538880887704
24,0.225,495.1736526946108,8.934882214710846
32,0.25,499.7624750499002,6.399341054359912
12,0.275,508.6067864271457,8.120049473088486
2,0.3,519.0439121756488,5.544779410117029
9,0.325,516.4331337325349,6.583868567146592
18,0.35,519.1956087824351,4.884050856931827
29,0.375,524.5768463073853,4.234703932925213
26,0.4,530.3832335329341,6.264690385971929
3,0.425,528.4910179640718,5.075322783721123
5,0.45,530.1636726546906,3.937277406771714
28,0.475,528.0319361277445,4.073547650756795
6,0.5,538.0059880239521,5.628020508329011
30,0.525,534.4830339321358,5.403315642915224
16,0.55,539.5209580838323,8.280635364280158
21,0.575,537.0978043912176,6.121883717383265
39,0.6,546.1417165668663,7.096559302903467
8,0.625,544.2355289421158,3.505970836536919
23,0.65,539.6467065868263,5.505661587194685
13,0.675,540.4610778443114,4.6456235748422285
4,0.7,550.2135728542914,3.4346327322104315
14,0.725,546.564870259481,5.9577926153432745
33,0.75,548.3692614770459,4.6237015497813125
15,0.775,551.9940119760479,5.796099940719679
25,0.8,550.4770459081836,4.112438177087589
11,0.825,551.5449101796407,4.701942419562622
7,0.85,548.5748502994012,2.9161410237853214
20,0.875,556.5988023952095,4.9460884525969036
31,0.9,556.2774451097804,1.9598948654745771
37,0.925,557.7664670658683,4.263215134946804
19,0.95,554.7844311377246,2.581493542105546
22,0.975,553.9161676646706,6.899113171902234
36,1.0,557.9640718562874,3.1143711999189465
