,pressure[bar],average_amount,error_amount
0,0.025,47.82634730538922,6.018251053226212
38,0.05,73.9061876247505,6.123576182770503
10,0.075,90.91616766467065,6.363330427972541
27,0.1,103.68662674650699,6.633219549752048
17,0.125,114.57485029940119,7.330580563961864
35,0.15,125.35329341317366,7.713749430153545
34,0.175,136.4890219560878,10.06061366651276
1,0.2,148.57884231536926,10.726144279975731
24,0.225,165.4570858283433,14.018545411693017
32,0.25,505.7365269461078,5.922186970768398
12,0.275,511.9620758483034,5.651608401789809
2,0.3,509.77045908183635,5.701595321521999
9,0.325,517.4031936127744,4.204492153862977
18,0.35,518.9161676646706,5.649877507710064
29,0.375,525.6027944111777,5.077435521274819
26,0.4,528.7185628742515,5.239820920982985
3,0.425,525.2874251497007,4.551460202718724
5,0.45,531.7145708582834,5.240366817000088
28,0.475,533.38123752495,3.724596893816324
6,0.5,538.1576846307386,3.3961769377872226
30,0.525,542.2095808383234,4.698280573067723
16,0.55,540.0399201596806,4.947065421141171
21,0.575,540.2275449101796,3.064203171841319
39,0.6,540.8602794411178,5.532018859010117
8,0.625,542.7385229540918,3.223153049857615
23,0.65,543.2954091816367,4.688772728852388
13,0.675,545.1756487025948,5.644233436541314
4,0.7,544.2295409181637,3.4688815647412863
14,0.725,551.3233532934132,4.81713855781249
33,0.75,551.4031936127744,3.1681281080507278
15,0.775,547.057884231537,4.312012964146204
25,0.8,549.3972055888223,4.330635446318575
11,0.825,548.5768463073853,4.9165270626343665
7,0.85,551.1916167664671,3.852470185190634
20,0.875,551.0,3.5802741897029473
31,0.9,553.2315369261477,6.24597942001918
37,0.925,554.4071856287425,3.1827046745468373
19,0.95,556.7984031936128,3.8183919666121757
22,0.975,547.5528942115768,4.833319217418966
36,1.0,553.8283433133732,5.438687012236139
