# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.8238675119         2.9580825481         2.4085116444         8.1904617044         0.0013650769         0.0014732200
2000         6.4680879527         5.2532084847         4.7546589048        16.4759553421         0.0013729963         0.0014362534
3000         9.0303593303         7.1187029863         7.9437839282        24.0928462449         0.0013384915         0.0013970166
4000        10.5824598307         9.1651963660        10.4326595875        30.1803157843         0.0012575132         0.0013019242
5000        12.0814238092        11.1924302841        12.1242685168        35.3981226102         0.0011799374         0.0012405832
6000        14.0099385518        12.7550072002        13.2747921660        40.0397379180         0.0011122149         0.0011432922
7000        17.1618672369        14.8976957427        15.3298207972        47.3893837768         0.0011283187         0.0010938346
8000        19.8266965292        18.1485615345        17.5936010718        55.5688591355         0.0011576846         0.0010933465
9000        21.5466502532        20.2530583333        19.5803904314        61.3800990178         0.0011366685         0.0010965350
10000        22.5154146233        23.1520715228        21.0299056846        66.6973918306         0.0011116232         0.0010884603
11000        22.9289436545        23.9948599597        24.5666513724        71.4904549866         0.0010831887         0.0010739241
12000        22.7640079900        25.3234417001        25.7883199977        73.8757696877         0.0010260524         0.0010475201
13000        23.3922262782        27.7668377167        27.3287128788        78.4877768737         0.0010062535         0.0010183969
14000        24.0866411488        28.8902118039        27.8255481700        80.8024011227         0.0009619333         0.0009853635
15000        27.7580681773        29.6037978263        29.6072047792        86.9690707827         0.0009663230         0.0009567641
16000        31.1930199547        30.8281031597        30.7337822552        92.7549053696         0.0009661969         0.0009351825
17000        32.0544969381        32.5608404667        34.5660382001        99.1813756049         0.0009723664         0.0009256642
18000        32.9549362365        35.8361532986        36.5493265167       105.3404160518         0.0009753742         0.0009213758
19000        35.8750653642        37.4107753323        40.1013962974       113.3872369939         0.0009946249         0.0009215786
20000        37.2906855059        39.4063140097        42.1377851538       118.8347846694         0.0009902899         0.0009259706
21000        37.2874915558        40.5455522298        44.2034204673       122.0364642529         0.0009685434         0.0009261483
22000        37.0790005888        43.7942558970        48.6069112558       129.4801677416         0.0009809104         0.0009248917
23000        41.2563146078        47.3159759021        49.6483389818       138.2206294917         0.0010015988         0.0009298943
24000        43.8926129644        52.3627984684        54.6105655725       150.8659770053         0.0010476804         0.0009399324
25000        48.0091916970        56.1766992903        56.9756924758       161.1615834631         0.0010744106         0.0009561986
26000        48.4510395232        58.3287684169        58.6652070548       165.4450149949         0.0010605450         0.0009734865
27000        49.2376153776        59.1627313371        59.8736271687       168.2739738835         0.0010387282         0.0009835725
28000        51.2177316322        58.4435540066        63.9211244099       173.5824100487         0.0010332286         0.0009881640
29000        55.7450025097        61.2370973141        65.0009222870       181.9830221108         0.0010458794         0.0009943584
30000        58.2182736426        61.5412674647        65.6314402573       185.3909813646         0.0010299499         0.0009995416
31000        59.7103279789        65.5038788917        65.6564161240       190.8706229946         0.0010261861         0.0010016451
32000        63.0581901722        65.3684140410        65.6583187793       194.0849229925         0.0010108590         0.0010016933
33000        66.0300790243        68.4383953661        68.9704477741       203.4389221645         0.0010274693         0.0010025514
34000        67.4768878552        70.7465585044        67.9353057110       206.1587520706         0.0010105821         0.0010036251
35000        67.8026749915        72.7951961897        68.3104410636       208.9083122449         0.0009948015         0.0010010433
36000        68.1237433363        77.2963584430        71.6848353306       217.1049371099         0.0010051154         0.0009985091
37000        72.6258954219        79.2770430877        73.7296716570       225.6326101666         0.0010163631         0.0009984452
38000        76.5387254177        82.1383244392        75.8381277813       234.5151776382         0.0010285753         0.0009995338
39000        82.2053494147        82.6194070764        77.1752375209       241.9999940120         0.0010341880         0.0010023191
40000        82.7480246915        81.2326472757        78.8293156770       242.8099876443         0.0010117083         0.0010035700
41000        83.6655346032        80.0398472498        79.7331963408       243.4385781938         0.0009895877         0.0010016342
42000        82.5524653661        84.1942410024        76.3374130490       243.0841194175         0.0009646195         0.0009967562
43000        86.1711322934        83.6675627222        81.1132341312       250.9519291468         0.0009726819         0.0009906377
44000        91.7697268497        85.2127851164        81.5959223549       258.5784343210         0.0009794638         0.0009866308
45000        90.1990161106        85.2939622958        87.0134685639       262.5064469703         0.0009722461         0.0009827918
46000        90.4629825201        88.1508000522        88.4706916257       267.0844741980         0.0009676974         0.0009789013
47000        89.8957290821        88.4589018588        92.2643449717       270.6189759126         0.0009596418         0.0009757631
48000        87.2621659487        89.5058010161        94.9450014225       271.7129683873         0.0009434478         0.0009709417
49000        89.8517282084        89.2086502407        96.6128001626       275.6731786118         0.0009376639         0.0009652378
50000        89.8478665703        91.7222600559       102.6939326538       284.2640592800         0.0009475469         0.0009604252
51000        89.3452928008        93.1564582547       105.5525092502       288.0542603056         0.0009413538         0.0009559512
