# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         3.6309816417         2.8112046078         3.3630677875         9.8052540370         0.0016342090         0.0017061126
2000         5.5374662560         6.8786984486         7.1014558751        19.5176205798         0.0016264684         0.0018307463
3000         7.2453000979         8.3521966412         9.7059637713        25.3034605105         0.0014057478         0.0014706763
4000         9.3579240306        13.2385136074        10.3145081691        32.9109458071         0.0013712894         0.0013707762
5000        10.7757481851        14.0213242520        10.2935589533        35.0906313904         0.0011696877         0.0012055234
6000        10.0571565952        14.8294549643        13.6992791455        38.5858907051         0.0010718303         0.0010809828
7000        11.8649830589        16.2690814867        14.4848635400        42.6189280856         0.0010147364         0.0009815770
8000        11.2346129832        18.2506765639        16.1585097925        45.6437993397         0.0009509125         0.0009059621
9000        11.9120605989        17.8862542503        14.5254685686        44.3237834178         0.0008208108         0.0008322899
10000        11.5855547099        15.1716281886        14.9877264646        41.7449093631         0.0006957485         0.0007180388
11000        13.4708487048        14.9768372049        14.9284760891        43.3761619988         0.0006572146         0.0006246360
12000        13.8712409613        18.4213487961        18.3785526697        50.6711424272         0.0007037659         0.0005737619
13000        14.2118549245        20.2615238826        17.7935015576        52.2668803647         0.0006700882         0.0005523259
14000        16.8085589156        20.3346444101        17.6127002622        54.7559035879         0.0006518560         0.0005250315
15000        18.0995443990        17.2525005827        17.4182335944        52.7702785760         0.0005863364         0.0005010233
16000        18.3241479148        18.3668398855        18.2072070247        54.8981948250         0.0005718562         0.0004681489
17000        16.5996471627        19.9850302043        21.1238462686        57.7085236356         0.0005657698         0.0004555864
18000        17.5975778276        20.8415293997        23.9334206686        62.3725278959         0.0005775234         0.0004392928
19000        21.0906740047        26.5134855308        25.8264562639        73.4306157994         0.0006441282         0.0004451271
20000        26.8474954221        38.1738112861        31.2719480535        96.2932547617         0.0008024438         0.0004857096
21000        24.2058738848        43.7621034853        35.8997882607       103.8677656309         0.0008243473         0.0005383389
22000        24.8354107514        41.9950593795        36.3397680544       103.1702381852         0.0007815927         0.0005833484
23000        28.6135531123        39.0274352214        33.8585169662       101.4995052999         0.0007355037         0.0006024017
24000        29.3659820608        43.3355629023        38.1000635133       110.8016084763         0.0007694556         0.0006212866
25000        29.4398480783        46.9069115633        37.9395060143       114.2862656559         0.0007619084         0.0006396369
26000        31.2774044214        44.2324773435        36.5103188991       112.0202006640         0.0007180782         0.0006522452
27000        33.5189411619        45.4241826495        37.2423474558       116.1854712672         0.0007171943         0.0006554929
28000        35.0748663531        46.7922647523        37.7393746533       119.6065057587         0.0007119435         0.0006600070
29000        29.5056129310        47.9114724923        32.3667730994       109.7838585227         0.0006309417         0.0006533980
30000        27.5301124548        57.0014324304        30.0993337159       114.6308786010         0.0006368382         0.0006408386
31000        28.2941933760        56.0604281793        32.4817466544       116.8363682097         0.0006281525         0.0006308964
32000        28.1647443132        57.1990809299        34.7732688204       120.1370940634         0.0006257140         0.0006230414
33000        28.6922014584        63.0836682137        37.1675889709       128.9434586431         0.0006512296         0.0006174099
34000        30.6667662378        61.0951890063        39.9959424003       131.7578976444         0.0006458720         0.0006141607
35000        28.3439042369        61.7016596766        43.3119492966       133.3575132101         0.0006350358         0.0006112838
36000        26.5177294313        62.3887233305        49.3980205582       138.3044733199         0.0006402985         0.0006065812
37000        22.4810741787        59.5096999761        48.9673754672       130.9581496220         0.0005899016         0.0006006414
38000        24.1795666735        58.2220627776        50.5857359121       132.9873653632         0.0005832779         0.0005909558
39000        34.9273082510        54.0037693767        50.9776610821       139.9087387098         0.0005979006         0.0005829497
40000        36.5790959690        48.3945283013        49.2607254788       134.2343497491         0.0005593098         0.0005751063
41000        32.0318828665        45.8302082369        53.9394527897       131.8015438932         0.0005357786         0.0005638832
42000        28.4959064234        48.8659040316        55.9025337369       133.2643441918         0.0005288268         0.0005520195
43000        31.5451052136        51.9495829225        60.4657759977       143.9604641338         0.0005579863         0.0005423710
44000        32.5860752530        52.1107105034        60.1258633823       144.8226491386         0.0005485706         0.0005369574
45000        35.6146694120        51.1920973767        60.0670949586       146.8738617473         0.0005439773         0.0005298722
46000        40.5906177843        45.8999323011        63.9570321416       150.4475822270         0.0005450999         0.0005241172
47000        44.4642350979        45.6355757467        76.1034912919       166.2033021364         0.0005893734         0.0005216675
48000        41.0586542461        49.8208269097        82.2656224222       173.1451035780         0.0006011983         0.0005237097
49000        41.7609423376        53.1516287852        82.8794963905       177.7920675133         0.0006047349         0.0005247214
50000        51.7489468508        50.3138034786        84.2396023778       186.3023527072         0.0006210078         0.0005293897
51000        54.7717908479        53.5537414555        79.2207627870       187.5462950904         0.0006128964         0.0005334158
52000        54.4456600699        62.2814498124        75.3120967715       192.0392066538         0.0006155103         0.0005363342
53000        53.0046587911        63.5338143744        80.3564999567       196.8949731222         0.0006191666         0.0005388257
54000        49.2674602859        68.2252734817        78.6506384109       196.1433721786         0.0006053808         0.0005422274
55000        45.0920520426        70.0618873735        79.0463247937       194.2002642097         0.0005884856         0.0005428428
56000        44.2993568819        75.7462503604        87.2810044182       207.3266116604         0.0006170435         0.0005437706
57000        47.3467954813        77.1211459692       101.7770729544       226.2450144049         0.0006615351         0.0005494724
58000        48.1370096216        84.0076139405        97.4506745630       229.5952981252         0.0006597566         0.0005566492
59000        44.4973854214        88.7067937699        90.7751019593       223.9792811506         0.0006327098         0.0005611274
60000        45.9016345757        86.0881802764       104.1443379174       236.1341527695         0.0006559282         0.0005662373
61000        53.3176895020        74.2127075302       100.6450957754       228.1754928075         0.0006234303         0.0005696401
62000        60.0624497384        73.4765123117       102.6834877154       236.2224497654         0.0006350066         0.0005720103
63000        59.6307309855        69.1746533166       104.5176967853       233.3230810873         0.0006172568         0.0005742196
64000        57.4306418013        70.1594896980       107.4824373250       235.0725688244         0.0006121681         0.0005755377
65000        57.0526281845        71.4750070519       111.5688281547       240.0964633910         0.0006156320         0.0005761010
66000        54.2641327624        76.8441729269       104.7361360841       235.8444417735         0.0005955668         0.0005758832
67000        52.7846097713        76.6270265450        97.4655691687       226.8772054850         0.0005643712         0.0005738951
68000        50.3306242459        77.2703405012       100.4036389992       228.0046037463         0.0005588348         0.0005699876
69000        48.7916707897        71.2402992232       104.7960765741       224.8280465870         0.0005430629         0.0005658740
