# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.8067034529         2.2399055547         2.5519289065         7.5985379141         0.0012664230         0.0013672870
2000         5.6614180055         4.2029750652         5.3694240521        15.2338171228         0.0012694848         0.0013321585
3000         8.9741335795         6.6264675142         8.0179720294        23.6185731231         0.0013121430         0.0013286676
4000        10.6169646065         9.9280948229        10.4185203410        30.9635797704         0.0012901492         0.0013283385
5000        12.7430887171        12.4214425052        12.5657244315        37.7302556538         0.0012576752         0.0012979594
6000        15.3516543404        13.9964518533        13.9367697167        43.2848759104         0.0012023577         0.0012448440
7000        16.5053799766        13.5265911055        14.8150553574        44.8470264394         0.0010677863         0.0011628792
8000        17.6761771536        13.8572584432        16.7074428273        48.2408784241         0.0010050183         0.0010583936
9000        18.0807299277        15.1337774445        18.8366947382        52.0512021105         0.0009639112         0.0009814169
10000        18.3559281454        18.4453781594        21.0030929417        57.8043992465         0.0009634067         0.0009352472
11000        19.6493842478        19.4380216382        21.6866984174        60.7741043034         0.0009208198         0.0008944332
12000        20.0412061816        20.9365499047        23.4499941504        64.4277502367         0.0008948299         0.0008597327
13000        21.6312405036        21.8613237421        24.7476326131        68.2401968588         0.0008748743         0.0008328602
14000        22.5422350635        23.5604276178        25.5059562654        71.6086189467         0.0008524836         0.0008075397
15000        24.7955385836        27.1647152742        26.7584577479        78.7187116058         0.0008746524         0.0007936223
16000        27.7392511113        30.2933713884        29.0328839378        87.0655064375         0.0009069324         0.0007963261
17000        27.9280009355        32.4631724041        31.3742979812        91.7654713207         0.0008996615         0.0008037540
18000        29.6162844657        34.0511354784        31.9403538589        95.6077738030         0.0008852572         0.0008074218
19000        32.6035573188        35.4689146383        32.9955361260       101.0680080831         0.0008865615         0.0008102358
20000        35.0559092857        34.9256184185        36.0119729470       105.9935006512         0.0008832792         0.0008104839
21000        36.9169028954        37.6218046587        38.6499657456       113.1886732997         0.0008983228         0.0008136302
22000        38.7090428624        40.2051826600        42.9947590630       121.9089845854         0.0009235529         0.0008250766
23000        40.7096673010        41.5331505318        46.1894248537       128.4322426865         0.0009306684         0.0008367251
24000        44.3397483013        45.2227280819        48.7776338315       138.3401102147         0.0009606952         0.0008507115
25000        44.3086901626        46.7481793333        52.7460278829       143.8028973788         0.0009586860         0.0008661331
26000        49.2126388117        49.9998810373        54.2831940784       153.4957139274         0.0009839469         0.0008808395
27000        50.5303959559        53.7113857961        56.2354849041       160.4772666560         0.0009906004         0.0008972078
28000        51.8991945759        55.7991443230        58.3411241326       166.0394630315         0.0009883301         0.0009103454
29000        51.5888346825        58.7363069401        63.0766734252       173.4018150478         0.0009965622         0.0009224625
30000        51.7308865897        60.2508504050        63.9802084204       175.9619454151         0.0009775664         0.0009320390
31000        52.8027415463        63.3889879941        65.6439623219       181.8356918623         0.0009776112         0.0009383158
32000        50.3234333183        61.9631125270        68.7978824694       181.0844283148         0.0009431481         0.0009407980
33000        52.9208808203        61.5214632255        73.8558610277       188.2982050735         0.0009510010         0.0009408196
34000        56.5995636955        64.5041331471        74.8061477013       195.9098445440         0.0009603424         0.0009428594
35000        60.3602210653        67.1705810711        78.1721914712       205.7029936076         0.0009795381         0.0009468042
36000        61.6416285162        69.3890741022        77.6104261633       208.6411287817         0.0009659312         0.0009505777
37000        63.5387465710        69.6945816981        77.8686126797       211.1019409488         0.0009509096         0.0009505885
38000        67.6947237808        69.8252899528        79.0887238658       216.6087375994         0.0009500383         0.0009500679
39000        71.0385635518        72.9025131937        82.9502790928       226.8913558383         0.0009696212         0.0009516452
40000        72.6394527443        73.0131274460        86.4996179232       232.1521981135         0.0009673008         0.0009541423
41000        73.9758999286        74.2434248871        85.1635391521       233.3828639678         0.0009487108         0.0009547362
42000        73.3154183314        74.1615297742        86.6933399133       234.1702880189         0.0009292472         0.0009516143
