# Time-averaged data for fix msdout
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4] v_twopoint v_fitslope
0         0.0000000000         0.0000000000         0.0000000000         0.0000000000         0.0000000000 1666666666666666496.0000000000
1000         2.4283568789         3.5529305326         3.1991454230         9.1804328344         0.0015300721         0.0015928247
2000         4.8265220379         7.3550636954         6.1977780816        18.3793638148         0.0015316137         0.0016622237
3000         6.4857819117        10.7854824905         8.7184483607        25.9897127629         0.0014438729         0.0015004522
4000         8.5809094446        14.1341704096        11.2603981521        33.9754780063         0.0014156449         0.0014379088
5000         9.1032875701        14.0969908549        12.8359613025        36.0362397275         0.0012012080         0.0013067109
6000        12.9733635847        12.0863607822        14.9510424352        40.0107668020         0.0011114102         0.0011563428
7000        13.9368542085        12.3141389906        16.7999192264        43.0509124255         0.0010250217         0.0010462679
8000        14.7875739050        12.5783869003        17.9919532159        45.3579140211         0.0009449565         0.0009442004
9000        17.4779240657        13.2989502289        19.8429368691        50.6198111637         0.0009374039         0.0008838572
10000        17.2861698300        12.3908366469        21.2713289419        50.9483354188         0.0008491389         0.0008285530
11000        15.8209436186        14.2151039479        23.6925086053        53.7285561719         0.0008140690         0.0007624832
12000        17.2767996905        17.0077741851        23.9589051274        58.2434790030         0.0008089372         0.0007278980
13000        17.6777910065        18.5431168923        27.5804115371        63.8013194360         0.0008179656         0.0007100996
14000        18.5832417907        21.3738673081        28.2380820469        68.1951911457         0.0008118475         0.0006986431
15000        20.0594322539        23.5261755905        25.9961552970        69.5817631414         0.0007731307         0.0006878679
16000        22.7665225748        21.6825501900        27.0409324761        71.4900052410         0.0007446876         0.0006722996
17000        24.2677263807        24.4148595626        27.6044668358        76.2870527791         0.0007479123         0.0006518947
18000        24.5709442253        27.1948046848        29.4624927376        81.2282416477         0.0007521133         0.0006488522
19000        25.0260876113        26.6878677424        29.4257518725        81.1397072262         0.0007117518         0.0006387074
20000        26.6913341553        30.0227129893        29.3197218220        86.0337689666         0.0007169481         0.0006289677
21000        26.9622387169        32.1363782134        27.7831883194        86.8818052497         0.0006895381         0.0006200475
22000        29.4416390791        34.6575508470        26.7177975155        90.8169874416         0.0006880075         0.0006131116
23000        27.3443667501        36.6037580233        26.7953480008        90.7434727742         0.0006575614         0.0006013983
24000        29.0500913712        37.7809743599        25.9804101247        92.8114758559         0.0006445241         0.0005868949
25000        31.6447170931        44.1789546607        26.7925027794       102.6161745333         0.0006841078         0.0005816673
26000        32.1771094700        48.8006028429        28.8588643989       109.8365767117         0.0007040806         0.0005832828
27000        34.1755572688        53.4677915009        32.1362513293       119.7796000990         0.0007393802         0.0005924104
28000        37.9772750975        54.4773808996        33.4350897309       125.8897457280         0.0007493437         0.0006067101
29000        42.4809401011        54.8225619139        40.2341986718       137.5377006868         0.0007904466         0.0006209856
30000        47.5998286577        55.8194309462        45.4138938527       148.8331534566         0.0008268509         0.0006424505
31000        47.9240335403        58.0989126521        47.5916045272       153.6145507196         0.0008258847         0.0006647645
32000        48.7961942253        60.5792315646        48.1119367985       157.4873625884         0.0008202467         0.0006837736
33000        50.6060632476        62.7181542236        47.6873604404       161.0115779116         0.0008131898         0.0006989117
34000        51.3831954425        65.6956880049        48.5733112432       165.6521946905         0.0008120206         0.0007112050
35000        55.5508977669        66.5646554278        47.5342043829       169.6497575776         0.0008078560         0.0007227650
36000        50.8722524990        69.8339243962        46.7003710773       167.4065479724         0.0007750303         0.0007281680
37000        47.0608267760        73.4851932521        49.4623742438       170.0083942718         0.0007658036         0.0007305268
38000        47.5122151695        74.2023478630        46.6926482348       168.4072112673         0.0007386281         0.0007281192
39000        49.1894813290        78.4934630111        47.3865706725       175.0695150127         0.0007481603         0.0007255415
40000        52.6985518702        79.3110854771        44.4980216892       176.5076590365         0.0007354486         0.0007246381
41000        52.7543724297        78.5981896358        43.8557053057       175.2082673712         0.0007122287         0.0007201363
42000        55.2796510573        76.7248934486        46.6536922323       178.6582367383         0.0007089613         0.0007150956
43000        55.9971690712        77.0863847309        46.9940723267       180.0776261288         0.0006979753         0.0007092612
44000        56.9451027625        79.5113175835        46.6792537804       183.1356741264         0.0006936957         0.0007035715
45000        56.4479075822        77.0885105516        45.1222147683       178.6586329021         0.0006616986         0.0006959640
46000        55.6625237205        74.1805457444        41.9473031728       171.7903726377         0.0006224289         0.0006843182
47000        55.7600651992        74.7038543348        41.8855770922       172.3494966262         0.0006111684         0.0006711890
48000        56.7707767169        76.5509076505        42.8544162186       176.1761005860         0.0006117226         0.0006590754
49000        57.5164030647        80.7176200328        44.7295540952       182.9635771928         0.0006223251         0.0006490534
50000        59.4760152666        83.7997670264        43.7209757875       186.9967580805         0.0006233225         0.0006406750
51000        60.3612221028        87.0566943461        43.9336096288       191.3515260777         0.0006253318         0.0006337086
52000        59.5981546405        83.6351581902        44.2765729309       187.5098857615         0.0006009932         0.0006264952
53000        56.7297924345        84.1333669300        45.5080748107       186.3712341752         0.0005860731         0.0006168105
54000        62.0803720467        82.3266168466        45.7240030103       190.1309919036         0.0005868240         0.0006078278
55000        61.5478137001        86.6601377882        47.2219175219       195.4298690101         0.0005922117         0.0005996447
56000        63.3631661969        90.8078264841        46.9207447343       201.0917374154         0.0005984873         0.0005933926
57000        65.4408606573        94.2299695625        46.3041786526       205.9750088724         0.0006022661         0.0005880209
58000        68.2353885841        91.2555786405        47.7737128741       207.2646800988         0.0005955882         0.0005834160
59000        66.3668423265        94.8224597005        47.5168478038       208.7061498307         0.0005895654         0.0005785649
60000        73.2908248374        97.5173994431        50.5644902850       221.3727145655         0.0006149242         0.0005748849
61000        73.9160827383        97.0553334429        52.0047267596       222.9761429408         0.0006092244         0.0005728155
62000        76.3177949228        95.8635931474        55.9218652410       228.1032533113         0.0006131808         0.0005711218
63000        77.3832292021        95.3886352836        54.3474329754       227.1192974611         0.0006008447         0.0005691082
64000        75.5792411618       100.8671004378        49.7515709765       226.1979125761         0.0005890571         0.0005659535
65000        76.2588874549       100.4655228905        45.4843755592       222.2087859046         0.0005697661         0.0005616239
